round_number,round_name,n_coders,coders,theme,code,n_units_all_done,n_units_pairable,times_applied,percent_agreement,cohens_kappa,fleiss_kappa,krippendorff_alpha,undefined_reason,span_mean_iou,span_f1_lenient,span_f1_strict,span_pairs_compared,unit_level_annotations
1,round 1,2,Alireza; subham,Type of offensiveness,No offensive content,250,250,91,0.8920,0.6389,0.6373,0.6380,,0.0148,0.0408,0.0408,47,43
1,round 1,2,Alireza; subham,Type of offensiveness,Threats of violence,250,250,110,0.8960,0.6977,0.6970,0.6976,,0.2441,0.5432,0.3704,57,31
1,round 1,2,Alireza; subham,Type of offensiveness,Hate speech and offensive language,250,250,158,0.7040,0.3664,0.3153,0.3166,,0.1004,0.2703,0.1622,105,32
1,round 1,2,Alireza; subham,Patterns of behavior,Consistent offensive behavior,250,250,45,0.9000,0.3919,0.3895,0.3907,,0.0927,0.2632,0.1053,29,10
1,round 1,2,Alireza; subham,Patterns of behavior,One-off offensive,250,250,22,0.9680,0.6196,0.6196,0.6204,,0.2866,0.6000,0.5000,14,2
1,round 1,2,Alireza; subham,Justifications,Contextual understanding,250,250,6,0.9840,0.3261,0.3252,0.3266,,0.1947,0.2857,0.2857,5,0
1,round 1,2,Alireza; subham,Justifications,Appeal to intent,250,250,5,0.9800,'-0.0064,'-0.0101,'-0.0081,,0.0000,0.0000,0.0000,3,2
1,round 1,2,Alireza; subham,Reflection on the decision,Expressed uncertainty,250,250,13,0.9720,0.4473,0.4472,0.4483,,0.3315,0.5455,0.5455,8,2
1,round 1,2,Alireza; subham,Reflection on the decision,Would revise the decision,250,250,2,1.0000,1.0000,1.0000,1.0000,,0.9905,1.0000,1.0000,1,0
1,round 1,2,Alireza; subham,Reflection on the decision,References the recommendation,250,250,0,1.0000,,,,no variance: every rating is identical,,,,0,0
1,round 1,2,Alireza; subham,Patterns of behavior,Troll or bot,250,250,3,0.9960,0.6649,0.6647,0.6653,,0.0000,0.0000,0.0000,2,1
1,round 1,2,Alireza; subham,Patterns of behavior,Majority offesnive,250,250,15,0.9560,0.2466,0.2440,0.2455,,0.0000,0.0000,0.0000,10,4
1,round 1,2,Alireza; subham,Patterns of behavior,Normal behavior,250,250,49,0.8600,0.2266,0.2081,0.2097,,0.0000,0.0000,0.0000,12,36
1,round 1,2,Alireza; subham,Decision outcomes,Temporary suspension,250,250,5,0.9880,0.3961,0.3939,0.3952,,0.0000,0.0000,0.0000,3,2
1,round 1,2,Alireza; subham,Type of offensiveness,Death wish,250,250,77,0.9240,0.7115,0.7083,0.7089,,0.3030,0.6129,0.4194,41,18
1,round 1,2,Alireza; subham,Decision outcomes,Permanent ban,250,250,34,0.8720,0.0515,'-0.0098,'-0.0078,,0.0000,0.0000,0.0000,19,15
1,round 1,2,Alireza; subham,Justifications,Not too offensive,250,250,10,0.9680,0.1863,0.1837,0.1853,,0.1274,0.2500,0.2500,7,2
1,round 1,2,Alireza; subham,Decision outcomes,Consequences beyond suspencion,250,250,9,0.9800,0.4354,0.4343,0.4354,,0.1667,0.2500,0.2500,6,2
1,round 1,2,Alireza; subham,Decision outcomes,Ban if behavior continues,250,250,6,0.9920,0.6626,0.6626,0.6633,,0.4649,0.6667,0.6667,4,0
1,round 1,2,Alireza; subham,Patterns of behavior,Mix of offensive and non-offensive,250,250,15,0.9560,0.2490,0.2440,0.2455,,0.2327,0.5714,0.2857,5,8
1,round 1,2,Alireza; subham,Positive content,Calm and thoughtful,250,250,12,0.9680,0.3188,0.3169,0.3183,,0.0750,0.1818,0.1818,10,1
1,round 1,2,Alireza; subham,Positive content,Personal opinions and thoughts,250,250,16,0.9600,0.3547,0.3543,0.3556,,0.0000,0.0000,0.0000,10,5
1,round 1,2,Alireza; subham,Justifications,negative consequences,250,250,1,0.9960,0.0000,'-0.0020,0.0000,,0.0000,0.0000,0.0000,1,0
1,round 1,2,Alireza; subham,Reflection on the decision,Need to know policy and TOS,250,250,3,0.9960,0.6649,0.6647,0.6653,,0.2680,0.6667,0.6667,2,0
1,round 1,2,Alireza; subham,Reflection on the decision,Needed to look at more messages,250,250,5,0.9800,'-0.0064,'-0.0101,'-0.0081,,0.0000,0.0000,0.0000,3,2
1,round 1,2,Alireza; subham,Type of offensiveness,derogatory remarks,250,250,43,0.8360,0.0390,'-0.0432,'-0.0411,,0.0383,0.0800,0.0800,22,20
1,round 1,2,Alireza; subham,Reflection on the decision,Not offensive at all,250,250,16,0.9360,0.0000,'-0.0331,'-0.0310,,0.0000,0.0000,0.0000,1,15
1,round 1,2,Alireza; subham,,comment too short and not sure what needs to be done,250,250,8,0.9760,0.2447,0.2378,0.2393,,0.0000,0.0000,0.0000,1,7
1,round 1,2,Alireza; subham,Type of offensiveness,Extreme offensive,250,250,22,0.9280,0.1598,0.1442,0.1459,,0.2258,0.5000,0.2500,6,14
1,round 1,2,Alireza; subham,,positive content,250,250,12,0.9680,0.3188,0.3169,0.3183,,0.0833,0.2222,0.2222,8,3
1,round 1,2,Alireza; subham,Type of offensiveness,racial remark,250,250,11,0.9640,0.1710,0.1634,0.1651,,0.0570,0.2222,0.0000,8,2
1,round 1,2,Alireza; subham,Type of offensiveness,misinformation,250,250,2,1.0000,1.0000,1.0000,1.0000,,0.4250,1.0000,0.0000,1,0
1,round 1,2,Alireza; subham,Decision outcomes,Do not suspend,250,250,0,1.0000,,,,no variance: every rating is identical,,,,0,0
1,round 1,2,Alireza; subham,Type of offensiveness,Harm other person,250,250,4,0.9840,0.0000,'-0.0081,'-0.0060,,0.0000,0.0000,0.0000,3,1
1,round 1,2,Alireza; subham,Justifications,Poster is a bad person,250,250,3,0.9880,0.0000,'-0.0060,'-0.0040,,0.0000,0.0000,0.0000,3,0
1,round 1,2,Alireza; subham,Justifications,Could be joking,250,250,1,0.9960,0.0000,'-0.0020,0.0000,,,,,0,1
1,round 1,2,Alireza; subham,Patterns of behavior,one message is enough (offensive),250,250,5,0.9800,0.0000,'-0.0101,'-0.0081,,0.0000,0.0000,0.0000,5,0
1,round 1,2,Alireza; subham,Justifications,Moral reasoning,250,250,1,0.9960,0.0000,'-0.0020,0.0000,,0.0000,0.0000,0.0000,1,0
