unit_id,Appeal to intent,Consistent offensive behavior,Death wish,Harm other person,Hate speech and offensive language,Majority offesnive,Mix of offensive and non-offensive,No offensive content,Normal behavior,Not too offensive,Threats of violence,Troll or bot,negative consequences
e5188116-f79c-476a-b681-859c8c386e61::1,0,0,0,0,1,0,0,0,0,0,1,0,0
e5188116-f79c-476a-b681-859c8c386e61::2,0,0,0,0,0,0,0,0,0,0,1,0,0
e5188116-f79c-476a-b681-859c8c386e61::3,0,0,0,1,0,0,0,0,0,0,1,0,0
e5188116-f79c-476a-b681-859c8c386e61::4,0,0,0,0,0,0,0,0,0,0,1,0,0
e5188116-f79c-476a-b681-859c8c386e61::5,0,0,0,0,0,0,0,1,0,0,0,0,0
f6adc9c9-2d2e-4b3c-80c4-00eed10c6348::1,0,1,0,0,0,0,0,0,0,0,0,0,0
f6adc9c9-2d2e-4b3c-80c4-00eed10c6348::2,0,0,0,0,1,0,0,0,0,0,0,0,0
f6adc9c9-2d2e-4b3c-80c4-00eed10c6348::3,0,1,0,0,1,0,0,0,0,0,0,0,0
f6adc9c9-2d2e-4b3c-80c4-00eed10c6348::4,0,0,0,0,0,0,0,1,0,0,0,0,0
f6adc9c9-2d2e-4b3c-80c4-00eed10c6348::5,0,0,0,0,0,0,0,1,0,0,0,0,0
cba4cf31-c885-4ce4-b1f4-8eafe6b74168::1,0,1,0,0,1,0,0,0,0,0,0,1,0
cba4cf31-c885-4ce4-b1f4-8eafe6b74168::2,0,1,0,0,0,1,0,0,0,0,1,0,0
cba4cf31-c885-4ce4-b1f4-8eafe6b74168::3,0,0,0,0,1,0,1,0,0,0,0,0,0
cba4cf31-c885-4ce4-b1f4-8eafe6b74168::4,0,1,1,0,0,0,0,0,0,0,1,0,0
cba4cf31-c885-4ce4-b1f4-8eafe6b74168::5,0,0,0,0,0,0,0,1,0,0,0,0,0
e84772f8-0104-4148-af15-e5424ff40caa::1,0,0,0,0,1,0,0,0,0,0,0,0,0
e84772f8-0104-4148-af15-e5424ff40caa::2,0,0,0,0,1,0,0,0,0,0,0,0,1
e84772f8-0104-4148-af15-e5424ff40caa::3,0,0,0,0,1,0,0,0,0,0,0,0,0
e84772f8-0104-4148-af15-e5424ff40caa::4,0,0,0,0,0,0,0,0,0,0,1,0,0
e84772f8-0104-4148-af15-e5424ff40caa::5,0,0,0,0,0,0,0,1,0,0,0,0,0
d2896f75-14d8-4919-9a39-2a071986d954::1,0,0,0,0,1,0,0,0,0,0,0,0,0
d2896f75-14d8-4919-9a39-2a071986d954::2,0,1,0,0,0,0,0,0,0,0,0,0,0
d2896f75-14d8-4919-9a39-2a071986d954::3,0,0,0,0,1,0,0,0,0,0,0,0,0
d2896f75-14d8-4919-9a39-2a071986d954::4,1,0,0,0,0,0,0,0,0,1,0,0,0
d2896f75-14d8-4919-9a39-2a071986d954::5,0,0,0,0,0,0,0,1,1,0,0,0,0
