code,support_gold,human_human_kappa,f1
Death wish,10,0.7115,0.7
Threats of violence,21,0.6977,0.8163265306122449
No offensive content,18,0.6389,0.7804878048780488
One-off offensive,6,0.6196,0.8
Expressed uncertainty,4,0.4473,0.75
Consequences beyond suspencion,3,0.4354,0.5
Consistent offensive behavior,13,0.3919,0.7741935483870968
Hate speech and offensive language,46,0.3664,0.8571428571428571
Contextual understanding,3,0.3261,0.0
positive content,3,0.3188,0.6
Calm and thoughtful,6,0.3188,0.8
Mix of offensive and non-offensive,3,0.249,0.26666666666666666
Majority offesnive,3,0.2466,0.5714285714285715
Normal behavior,6,0.2266,0.5
Not too offensive,5,0.1863,0.8333333333333333
Extreme offensive,3,0.1598,0.28571428571428575
derogatory remarks,3,0.039,0.14285714285714288
one message is enough (offensive),4,0.0,0.46153846153846156
