unit_id,user_id,account,unit_text,n_codes,codes,themes,unit_note,status,error,latency_s,input_tokens,output_tokens,from_cache,backend,model,prompt_variant,run_key,annotated_at
e5188116-f79c-476a-b681-859c8c386e61::1,e5188116-f79c-476a-b681-859c8c386e61,1,The person is advocating hate speech and violence.,2,Hate speech and offensive language; Threats of violence,Type of offensiveness,,ok,,4.882,1746,84,False,ollama,qwen3.5:latest,codebook_only,ollama__qwen3.5-latest__codebook_only,2026-09-09T15:41:57+00:00
e5188116-f79c-476a-b681-859c8c386e61::2,e5188116-f79c-476a-b681-859c8c386e61,2,Another account advocating actual IRL violence.,1,Threats of violence,Type of offensiveness,,ok,,8.627,1745,57,False,ollama,qwen3.5:latest,codebook_only,ollama__qwen3.5-latest__codebook_only,2026-09-09T15:41:57+00:00
e5188116-f79c-476a-b681-859c8c386e61::3,e5188116-f79c-476a-b681-859c8c386e61,3,Person is advocating IRL bullying and violence/wishing harm.,1,Threats of violence,Type of offensiveness,,ok,,7.718,1749,61,False,ollama,qwen3.5:latest,codebook_only,ollama__qwen3.5-latest__codebook_only,2026-09-09T15:41:57+00:00
e5188116-f79c-476a-b681-859c8c386e61::4,e5188116-f79c-476a-b681-859c8c386e61,4,This account threatened another person's life.,1,Threats of violence,Type of offensiveness,,ok,,7.67,1745,55,False,ollama,qwen3.5:latest,codebook_only,ollama__qwen3.5-latest__codebook_only,2026-09-09T15:41:57+00:00
e5188116-f79c-476a-b681-859c8c386e61::5,e5188116-f79c-476a-b681-859c8c386e61,5,I saw no evidence of hate speech in seven messages.,2,No offensive content; Hate speech and offensive language,Type of offensiveness,"The participant explicitly denies the presence of hate speech, making 'No offensive content' the appropriate primary classification. The mention of 'hate speech' in the text is part of the negation rather than an acknowledgment of its presence, so it does not warrant a positive application of the 'Hate speech and offensive language' code under rule 3 (code what they wrote) and rule 5 (prefer specific/accurate interpretation).",ok,,12.904,1748,204,False,ollama,qwen3.5:latest,codebook_only,ollama__qwen3.5-latest__codebook_only,2026-09-09T15:41:57+00:00
f6adc9c9-2d2e-4b3c-80c4-00eed10c6348::1,f6adc9c9-2d2e-4b3c-80c4-00eed10c6348,1,The account should be suspended. Every comment is offensive.,2,Consistent offensive behavior; Extreme offensive,Patterns of behavior; Type of offensiveness,,ok,,14.511,1748,99,False,ollama,qwen3.5:latest,codebook_only,ollama__qwen3.5-latest__codebook_only,2026-09-09T15:41:57+00:00
f6adc9c9-2d2e-4b3c-80c4-00eed10c6348::2,f6adc9c9-2d2e-4b3c-80c4-00eed10c6348,2,It was offensive on many levels.,2,Extreme offensive; Not too offensive,Type of offensiveness; Justifications,"The text is very short and lacks context regarding whether the offensiveness led to suspension or if it was dismissed as a joke; however, 'Extreme offensive' is the most specific fit for 'offensive on many levels'. The 'Not too offensive' code is technically not supported by the text as written, so I have included it only with very low confidence to reflect the ambiguity of such short texts in this dataset context, but strictly speaking, based on rule 3 ('Code what the participant actually wrote'), it should probably be omitted. Given the strict instruction 'If the justification is too short or vague to support any code, return an empty list', I will reconsider. The text says 'It was offensive'. This supports 'Extreme offensive' (or potentially 'Hate speech' if specific slurs were present, but none are listed). It does not support 'Not too offensive'. Therefore, only 'Extreme offensive' is valid.",ok,,17.941,1744,292,False,ollama,qwen3.5:latest,codebook_only,ollama__qwen3.5-latest__codebook_only,2026-09-09T15:41:57+00:00
f6adc9c9-2d2e-4b3c-80c4-00eed10c6348::3,f6adc9c9-2d2e-4b3c-80c4-00eed10c6348,3,Every comment was offensive. The account should be suspended.,2,Consistent offensive behavior; Extreme offensive,Patterns of behavior; Type of offensiveness,,ok,,18.133,1748,103,False,ollama,qwen3.5:latest,codebook_only,ollama__qwen3.5-latest__codebook_only,2026-09-09T15:41:57+00:00
f6adc9c9-2d2e-4b3c-80c4-00eed10c6348::4,f6adc9c9-2d2e-4b3c-80c4-00eed10c6348,4,None of the comments were offensive. There was no reason to suspend.,1,No offensive content,Type of offensiveness,,ok,,3.684,1751,47,True,ollama,qwen3.5:latest,codebook_only,ollama__qwen3.5-latest__codebook_only,2026-09-09T15:41:57+00:00
f6adc9c9-2d2e-4b3c-80c4-00eed10c6348::5,f6adc9c9-2d2e-4b3c-80c4-00eed10c6348,5,There were no offensive comments. No reason to suspend.,1,No offensive content,Type of offensiveness,,ok,,8.793,1748,45,False,ollama,qwen3.5:latest,codebook_only,ollama__qwen3.5-latest__codebook_only,2026-09-09T15:41:57+00:00
