unit_id,user_id,account,unit_text,theme,code,scope,start_offset,end_offset,quote,quote_match,confidence,reason,backend,model,prompt_variant,run_key,annotated_at
e5188116-f79c-476a-b681-859c8c386e61::1,e5188116-f79c-476a-b681-859c8c386e61,1,The person is advocating hate speech and violence.,Type of offensiveness,Hate speech and offensive language,span,14,36,advocating hate speech,exact,1.0,Explicitly describes the content as hate speech,openai,gpt-5.1,codebook_only,openai__gpt-5.1__codebook_only,2026-09-09T18:28:34+00:00
e5188116-f79c-476a-b681-859c8c386e61::1,e5188116-f79c-476a-b681-859c8c386e61,1,The person is advocating hate speech and violence.,Type of offensiveness,Threats of violence,span,37,49,and violence,exact,0.95,Mentions advocacy of violence as part of the justification,openai,gpt-5.1,codebook_only,openai__gpt-5.1__codebook_only,2026-09-09T18:28:34+00:00
e5188116-f79c-476a-b681-859c8c386e61::1,e5188116-f79c-476a-b681-859c8c386e61,1,The person is advocating hate speech and violence.,Type of offensiveness,Harm other person,span,14,49,advocating hate speech and violence,exact,0.8,Violence is framed as harmful conduct toward others,openai,gpt-5.1,codebook_only,openai__gpt-5.1__codebook_only,2026-09-09T18:28:34+00:00
e5188116-f79c-476a-b681-859c8c386e61::2,e5188116-f79c-476a-b681-859c8c386e61,2,Another account advocating actual IRL violence.,Type of offensiveness,Threats of violence,span,16,46,advocating actual IRL violence,exact,0.98,Explicitly notes advocacy of real-life violence as the issue,openai,gpt-5.1,codebook_only,openai__gpt-5.1__codebook_only,2026-09-09T18:28:34+00:00
e5188116-f79c-476a-b681-859c8c386e61::2,e5188116-f79c-476a-b681-859c8c386e61,2,Another account advocating actual IRL violence.,Type of offensiveness,Harm other person,span,16,46,advocating actual IRL violence,exact,0.9,"Describes promoting real-world violence, which is aimed at harming others",openai,gpt-5.1,codebook_only,openai__gpt-5.1__codebook_only,2026-09-09T18:28:34+00:00
e5188116-f79c-476a-b681-859c8c386e61::3,e5188116-f79c-476a-b681-859c8c386e61,3,Person is advocating IRL bullying and violence/wishing harm.,Type of offensiveness,Threats of violence,span,10,59,advocating IRL bullying and violence/wishing harm,exact,0.98,Explicitly mentions advocacy of real-life violence and wishing harm,openai,gpt-5.1,codebook_only,openai__gpt-5.1__codebook_only,2026-09-09T18:28:34+00:00
e5188116-f79c-476a-b681-859c8c386e61::3,e5188116-f79c-476a-b681-859c8c386e61,3,Person is advocating IRL bullying and violence/wishing harm.,Type of offensiveness,Harm other person,span,10,59,advocating IRL bullying and violence/wishing harm,exact,0.96,Describes behavior intended to cause harm to others,openai,gpt-5.1,codebook_only,openai__gpt-5.1__codebook_only,2026-09-09T18:28:34+00:00
e5188116-f79c-476a-b681-859c8c386e61::3,e5188116-f79c-476a-b681-859c8c386e61,3,Person is advocating IRL bullying and violence/wishing harm.,Justifications,negative consequences,span,21,46,IRL bullying and violence,exact,0.78,"Highlights real-life bullying and violence, implying harmful consequences beyond the platform",openai,gpt-5.1,codebook_only,openai__gpt-5.1__codebook_only,2026-09-09T18:28:34+00:00
e5188116-f79c-476a-b681-859c8c386e61::4,e5188116-f79c-476a-b681-859c8c386e61,4,This account threatened another person's life.,Type of offensiveness,Threats of violence,span,13,45,threatened another person's life,exact,1.0,Explicitly references a threat to someone’s life,openai,gpt-5.1,codebook_only,openai__gpt-5.1__codebook_only,2026-09-09T18:28:34+00:00
e5188116-f79c-476a-b681-859c8c386e61::4,e5188116-f79c-476a-b681-859c8c386e61,4,This account threatened another person's life.,Type of offensiveness,Harm other person,span,13,45,threatened another person's life,exact,0.86,Threat to someone’s life is an attempt to harm another person,openai,gpt-5.1,codebook_only,openai__gpt-5.1__codebook_only,2026-09-09T18:28:34+00:00
e5188116-f79c-476a-b681-859c8c386e61::5,e5188116-f79c-476a-b681-859c8c386e61,5,I saw no evidence of hate speech in seven messages.,Type of offensiveness,No offensive content,span,0,51,I saw no evidence of hate speech in seven messages.,exact,0.96,Explicitly states there was no evidence of hate speech in the reviewed messages,openai,gpt-5.1,codebook_only,openai__gpt-5.1__codebook_only,2026-09-09T18:28:34+00:00
e5188116-f79c-476a-b681-859c8c386e61::5,e5188116-f79c-476a-b681-859c8c386e61,5,I saw no evidence of hate speech in seven messages.,Reflection on the decision,Not offensive at all,span,6,32,no evidence of hate speech,exact,0.86,Phrase indicates the content was not offensive in terms of hate speech,openai,gpt-5.1,codebook_only,openai__gpt-5.1__codebook_only,2026-09-09T18:28:34+00:00
f6adc9c9-2d2e-4b3c-80c4-00eed10c6348::1,f6adc9c9-2d2e-4b3c-80c4-00eed10c6348,1,The account should be suspended. Every comment is offensive.,Patterns of behavior,Consistent offensive behavior,span,33,60,Every comment is offensive.,exact,0.98,Explicitly states a repeated pattern of offensive comments across the account,openai,gpt-5.1,codebook_only,openai__gpt-5.1__codebook_only,2026-09-09T18:28:34+00:00
f6adc9c9-2d2e-4b3c-80c4-00eed10c6348::1,f6adc9c9-2d2e-4b3c-80c4-00eed10c6348,1,The account should be suspended. Every comment is offensive.,Patterns of behavior,Majority offesnive,span,33,60,Every comment is offensive.,exact,0.9,"Says that all comments are offensive, implying the vast majority of content is offensive",openai,gpt-5.1,codebook_only,openai__gpt-5.1__codebook_only,2026-09-09T18:28:34+00:00
f6adc9c9-2d2e-4b3c-80c4-00eed10c6348::3,f6adc9c9-2d2e-4b3c-80c4-00eed10c6348,3,Every comment was offensive. The account should be suspended.,Patterns of behavior,Consistent offensive behavior,span,0,28,Every comment was offensive.,exact,0.98,"Explicitly states all comments were offensive, indicating a repeated pattern across the account.",openai,gpt-5.1,codebook_only,openai__gpt-5.1__codebook_only,2026-09-09T18:28:34+00:00
f6adc9c9-2d2e-4b3c-80c4-00eed10c6348::4,f6adc9c9-2d2e-4b3c-80c4-00eed10c6348,4,None of the comments were offensive. There was no reason to suspend.,Type of offensiveness,No offensive content,span,0,36,None of the comments were offensive.,exact,1.0,Explicitly states the content was not offensive,openai,gpt-5.1,codebook_only,openai__gpt-5.1__codebook_only,2026-09-09T18:28:34+00:00
f6adc9c9-2d2e-4b3c-80c4-00eed10c6348::4,f6adc9c9-2d2e-4b3c-80c4-00eed10c6348,4,None of the comments were offensive. There was no reason to suspend.,Decision outcomes,Do not suspend,span,37,68,There was no reason to suspend.,exact,0.99,Explicitly mentions there is no reason to suspend the account,openai,gpt-5.1,codebook_only,openai__gpt-5.1__codebook_only,2026-09-09T18:28:34+00:00
f6adc9c9-2d2e-4b3c-80c4-00eed10c6348::5,f6adc9c9-2d2e-4b3c-80c4-00eed10c6348,5,There were no offensive comments. No reason to suspend.,Type of offensiveness,No offensive content,span,0,33,There were no offensive comments.,exact,1.0,Explicitly states absence of offensive comments,openai,gpt-5.1,codebook_only,openai__gpt-5.1__codebook_only,2026-09-09T18:28:34+00:00
f6adc9c9-2d2e-4b3c-80c4-00eed10c6348::5,f6adc9c9-2d2e-4b3c-80c4-00eed10c6348,5,There were no offensive comments. No reason to suspend.,Decision outcomes,Do not suspend,span,34,55,No reason to suspend.,exact,1.0,Clearly justifies a decision not to suspend the account,openai,gpt-5.1,codebook_only,openai__gpt-5.1__codebook_only,2026-09-09T18:28:34+00:00
cba4cf31-c885-4ce4-b1f4-8eafe6b74168::1,cba4cf31-c885-4ce4-b1f4-8eafe6b74168,1,This appears to be a classic hate-filled troll account.  100% of the 3 messages I reviewed were offensive.,Type of offensiveness,Hate speech and offensive language,span,29,40,hate-filled,exact,0.87,"Describes content as filled with hate, indicating hateful/offensive language",openai,gpt-5.1,codebook_only,openai__gpt-5.1__codebook_only,2026-09-09T18:28:34+00:00
cba4cf31-c885-4ce4-b1f4-8eafe6b74168::1,cba4cf31-c885-4ce4-b1f4-8eafe6b74168,1,This appears to be a classic hate-filled troll account.  100% of the 3 messages I reviewed were offensive.,Patterns of behavior,Troll or bot,span,21,54,classic hate-filled troll account,exact,0.96,Explicitly labels the account as a troll,openai,gpt-5.1,codebook_only,openai__gpt-5.1__codebook_only,2026-09-09T18:28:34+00:00
cba4cf31-c885-4ce4-b1f4-8eafe6b74168::1,cba4cf31-c885-4ce4-b1f4-8eafe6b74168,1,This appears to be a classic hate-filled troll account.  100% of the 3 messages I reviewed were offensive.,Patterns of behavior,Consistent offensive behavior,span,57,105,100% of the 3 messages I reviewed were offensive,exact,0.99,"States all reviewed messages were offensive, indicating a repeated pattern",openai,gpt-5.1,codebook_only,openai__gpt-5.1__codebook_only,2026-09-09T18:28:34+00:00
cba4cf31-c885-4ce4-b1f4-8eafe6b74168::1,cba4cf31-c885-4ce4-b1f4-8eafe6b74168,1,This appears to be a classic hate-filled troll account.  100% of the 3 messages I reviewed were offensive.,Patterns of behavior,Majority offesnive,span,57,105,100% of the 3 messages I reviewed were offensive,exact,0.98,Indicates all/majority of messages were offensive,openai,gpt-5.1,codebook_only,openai__gpt-5.1__codebook_only,2026-09-09T18:28:34+00:00
cba4cf31-c885-4ce4-b1f4-8eafe6b74168::2,cba4cf31-c885-4ce4-b1f4-8eafe6b74168,2,All but 1 message that I reviewed had clearly offensive content.  There were threats of violence included.,Type of offensiveness,Threats of violence,span,66,106,There were threats of violence included.,exact,1.0,Explicitly mentions threats of violence as part of the content.,openai,gpt-5.1,codebook_only,openai__gpt-5.1__codebook_only,2026-09-09T18:28:34+00:00
cba4cf31-c885-4ce4-b1f4-8eafe6b74168::2,cba4cf31-c885-4ce4-b1f4-8eafe6b74168,2,All but 1 message that I reviewed had clearly offensive content.  There were threats of violence included.,Patterns of behavior,Consistent offensive behavior,span,0,64,All but 1 message that I reviewed had clearly offensive content.,exact,0.84,Describes a repeated pattern of offensive messages across the account.,openai,gpt-5.1,codebook_only,openai__gpt-5.1__codebook_only,2026-09-09T18:28:34+00:00
cba4cf31-c885-4ce4-b1f4-8eafe6b74168::2,cba4cf31-c885-4ce4-b1f4-8eafe6b74168,2,All but 1 message that I reviewed had clearly offensive content.  There were threats of violence included.,Patterns of behavior,Majority offesnive,span,0,64,All but 1 message that I reviewed had clearly offensive content.,exact,0.96,States that nearly all (a clear majority) of the messages were offensive.,openai,gpt-5.1,codebook_only,openai__gpt-5.1__codebook_only,2026-09-09T18:28:34+00:00
cba4cf31-c885-4ce4-b1f4-8eafe6b74168::3,cba4cf31-c885-4ce4-b1f4-8eafe6b74168,3,"While not all of the messages I reviewed were offensive, there were definitely a number of posts that included personal attacks on others.",Type of offensiveness,Hate speech and offensive language,span,111,137,personal attacks on others,exact,0.96,Explicitly references personal attacks as basis for judgment,openai,gpt-5.1,codebook_only,openai__gpt-5.1__codebook_only,2026-09-09T18:28:34+00:00
cba4cf31-c885-4ce4-b1f4-8eafe6b74168::3,cba4cf31-c885-4ce4-b1f4-8eafe6b74168,3,"While not all of the messages I reviewed were offensive, there were definitely a number of posts that included personal attacks on others.",Patterns of behavior,Consistent offensive behavior,span,57,127,there were definitely a number of posts that included personal attacks,exact,0.86,"Phrase indicates multiple offensive posts, suggesting a pattern",openai,gpt-5.1,codebook_only,openai__gpt-5.1__codebook_only,2026-09-09T18:28:34+00:00
