unit_id,unit_text,gold_codes,pred_codes,missed,spurious,n_agreed
7a345fe0-e245-4e5c-a2fc-b725eed72fa1::4,"They had a slip up on message 3 which could be taken as a threat, but I do not know the situation. I have had conversations where people would say this jokingly. I think this person gets one more chance.",Appeal to intent; Ban if behavior continues; Could be joking; Expressed uncertainty; One-off offensive; Threats of violence,Appeal to intent; Ban if behavior continues; Could be joking; Threats of violence; one message is enough (offensive),Expressed uncertainty; One-off offensive,one message is enough (offensive),4
209a2e51-8511-44f6-8bc1-5df8aff3fa19::1,They are very vulgar words that deserve suspending the account,Hate speech and offensive language; derogatory remarks,Hate speech and offensive language; Not too offensive,derogatory remarks,Not too offensive,1
904fefab-d1fe-4c81-a4c7-a1b91737087f::3,"Even though there are some very calm and eloquent messages, there are still hurtful ones.  If a person is being demeaning and homophobic there is no place for them, even if some of their messages are thoughtful.",Calm and thoughtful; Hate speech and offensive language,Hate speech and offensive language; Mix of offensive and non-offensive; Not too offensive,Calm and thoughtful,Mix of offensive and non-offensive; Not too offensive,1
f28153d7-0a1f-48ff-983b-d2aaaa6ce8d8::5,Its an everyday kind of statement,Normal behavior,Contextual understanding,Normal behavior,Contextual understanding,0
e92964a0-56a0-4f0c-a292-473c7cc67bea::4,"I wasn't 100 percent confident on my decision, but they did not have many offensive messages. Although they did talk about killing people on the offensive tweets it wasn't too extreme.",Expressed uncertainty; Not too offensive; One-off offensive,Expressed uncertainty; No offensive content; Not too offensive,One-off offensive,No offensive content,2
4e526fc5-8352-4bd3-93c1-c9e4a8d8e59c::1,they want everyone to die. very mean and cold hearted.,Hate speech and offensive language,Death wish; Poster is a bad person; Threats of violence,Hate speech and offensive language,Death wish; Poster is a bad person; Threats of violence,0
3a71a704-c4b8-415f-bd4d-ce52c8458a98::5,"This account has posts that seem genuine and supportive, probably indicative of someone who is level, civil, and not angry",Calm and thoughtful; Contextual understanding,Calm and thoughtful; No offensive content,Contextual understanding,No offensive content,1
947c2dec-32b7-465b-a682-2751391d78e4::2,"I only needed to see one message to suspend this account, this is a threat and a graphic one. Threats against life should be suspended all the time. I believe in free speech but there's a difference between being a troll and being a danger.",Harm other person; Moral reasoning; Threats of violence; one message is enough (offensive),Death wish; Moral reasoning; Threats of violence; Troll or bot; one message is enough (offensive),Harm other person,Death wish; Troll or bot,3
5cc4bd9f-bb5f-4846-bd05-fdd182058a61::5,Looks like someone expressing their thoughts online. No reason to suspend them.,Personal opinions and thoughts,No offensive content; Personal opinions and thoughts,,No offensive content,1
1bc0fc0a-0cf5-4c30-8056-53bc860179f0::3,2 of the 3 messages were offensive.,Majority offesnive,Majority offesnive; Mix of offensive and non-offensive,,Mix of offensive and non-offensive,1
043d2678-387c-463e-8ec8-0bb3314063b9::4,"This account is a case of one message being enough to suspend the entire account. They made a threat towards someone and used derogatory language towards them. In my opinion, that shouldn't be tolerated or given a slap on the wrist on any platform.",Threats of violence; derogatory remarks; one message is enough (offensive),Hate speech and offensive language; Threats of violence; negative consequences; one message is enough (offensive),derogatory remarks,Hate speech and offensive language; negative consequences,2
0860c28d-eaaa-48ea-bd88-a46b9da590f5::2,Glorifying violence. Easy ban.,Threats of violence,Permanent ban; Threats of violence,,Permanent ban,1
709e0d0c-1354-43ff-a628-ef4a2981b0c8::1,They were calling other people offensive names and wishing/threatening death.,Death wish; Hate speech and offensive language,Hate speech and offensive language; Threats of violence,Death wish,Threats of violence,1
782fbcf9-8a0c-449e-aa3c-b0107a40661f::3,There was a mix of offensive and not offensive messages but the offensive ones were worthy of suspension. Sending slurs to other users should not be tolerated,Hate speech and offensive language; Mix of offensive and non-offensive,Hate speech and offensive language; Mix of offensive and non-offensive; negative consequences,,negative consequences,2
94d90d90-65c3-49e7-a62d-e1b7738e20c8::2,3 out of 4 messages were offensive,Majority offesnive,Consistent offensive behavior; Majority offesnive,,Consistent offensive behavior,1
e1155a7e-7ace-4083-adcf-27d2ae8bdd4c::5,He/she are just projecting their own views and not bashing or using vulgar language in the process or threatening anyone.,Personal opinions and thoughts,Appeal to intent; Not too offensive,Personal opinions and thoughts,Appeal to intent; Not too offensive,0
f6855f0d-9705-4cd9-a67c-ee8cd8d73460::1,account 3 used foul words but it seems like he was being bothered,Contextual understanding; Hate speech and offensive language,Appeal to intent; Hate speech and offensive language,Contextual understanding,Appeal to intent,1
a37571ff-8f28-4459-935f-08b72087e111::4,I did not detect anything offensive although I only rolled through two messages it seemed the person was coming from a good place,No offensive content,Appeal to intent; No offensive content,,Appeal to intent,1
fefb2330-548d-44b7-a374-a6957a756dc0::5,"Almost all the comment were nice and cool, that's why I chose not to suspended this account.",Calm and thoughtful,Do not suspend; No offensive content,Calm and thoughtful,Do not suspend; No offensive content,0
64706c0b-1c60-483f-994b-a6f8c2f511f7::5,There was nothing offensive in the messages at all so for me it was pretty much a no brainer not to suspend this one,No offensive content,Do not suspend; No offensive content,,Do not suspend,1
87f87d7b-4b52-467a-93ed-face4ab8ccb4::3,"The first message was suspension-worthy in my opinion.  I just wanted to see if the next message followed in the same vein.  I don't know the policies for this presumed platform, so I have to go by what I think is no good.  Homophobia is a no-go.",Hate speech and offensive language; Need to know policy and TOS,Hate speech and offensive language; Need to know policy and TOS; One-off offensive,,One-off offensive,2
563c29ae-5957-43e7-8456-64668a5f47c8::2,I should have just clicked suspend after the first message. But violence in message 1 plus slurs in message 2 is more than enough for me.,Consistent offensive behavior; Hate speech and offensive language; Threats of violence,Hate speech and offensive language; Threats of violence; one message is enough (offensive),Consistent offensive behavior,one message is enough (offensive),2
