unit_id,unit_text,gold_codes,pred_codes,missed,spurious,n_agreed
e84772f8-0104-4148-af15-e5424ff40caa::4,Threatening physical harm is grounds to suspend someone in my book.,Threats of violence,Harm other person; Threats of violence,,Harm other person,1
7a345fe0-e245-4e5c-a2fc-b725eed72fa1::4,"They had a slip up on message 3 which could be taken as a threat, but I do not know the situation. I have had conversations where people would say this jokingly. I think this person gets one more chance.",Appeal to intent; Ban if behavior continues; Could be joking; Expressed uncertainty; One-off offensive; Threats of violence,Ban if behavior continues; Contextual understanding; Could be joking; Expressed uncertainty; One-off offensive; Threats of violence,Appeal to intent,Contextual understanding,5
209a2e51-8511-44f6-8bc1-5df8aff3fa19::1,They are very vulgar words that deserve suspending the account,Hate speech and offensive language; derogatory remarks,Extreme offensive; Hate speech and offensive language; one message is enough (offensive),derogatory remarks,Extreme offensive; one message is enough (offensive),1
904fefab-d1fe-4c81-a4c7-a1b91737087f::3,"Even though there are some very calm and eloquent messages, there are still hurtful ones.  If a person is being demeaning and homophobic there is no place for them, even if some of their messages are thoughtful.",Calm and thoughtful; Hate speech and offensive language,Calm and thoughtful; Consistent offensive behavior; Harm other person; Hate speech and offensive language; Mix of offensive and non-offensive; Permanent ban; derogatory remarks; one message is enough (offensive),,Consistent offensive behavior; Harm other person; Mix of offensive and non-offensive; Permanent ban; derogatory remarks; one message is enough (offensive),2
f28153d7-0a1f-48ff-983b-d2aaaa6ce8d8::5,Its an everyday kind of statement,Normal behavior,Contextual understanding; No offensive content; Normal behavior,,Contextual understanding; No offensive content,1
e92964a0-56a0-4f0c-a292-473c7cc67bea::4,"I wasn't 100 percent confident on my decision, but they did not have many offensive messages. Although they did talk about killing people on the offensive tweets it wasn't too extreme.",Expressed uncertainty; Not too offensive; One-off offensive,Expressed uncertainty; Mix of offensive and non-offensive; Not too offensive; Threats of violence,One-off offensive,Mix of offensive and non-offensive; Threats of violence,2
4e526fc5-8352-4bd3-93c1-c9e4a8d8e59c::1,they want everyone to die. very mean and cold hearted.,Hate speech and offensive language,Death wish; Poster is a bad person,Hate speech and offensive language,Death wish; Poster is a bad person,0
3a71a704-c4b8-415f-bd4d-ce52c8458a98::5,"This account has posts that seem genuine and supportive, probably indicative of someone who is level, civil, and not angry",Calm and thoughtful; Contextual understanding,Calm and thoughtful; No offensive content; positive content,Contextual understanding,No offensive content; positive content,1
d7a83ebf-ff90-45ee-946f-bf3053a6cda0::5,"I went through 6 messages and none were offensive. However, I wish I had chosen to not suspend the account with a confidence of 4 because I don't know what other potential messages could've said.",Expressed uncertainty; No offensive content,Expressed uncertainty; Needed to look at more messages; No offensive content; Would revise the decision,,Needed to look at more messages; Would revise the decision,2
947c2dec-32b7-465b-a682-2751391d78e4::2,"I only needed to see one message to suspend this account, this is a threat and a graphic one. Threats against life should be suspended all the time. I believe in free speech but there's a difference between being a troll and being a danger.",Harm other person; Moral reasoning; Threats of violence; one message is enough (offensive),Death wish; Harm other person; Moral reasoning; Threats of violence; one message is enough (offensive),,Death wish,4
5cc4bd9f-bb5f-4846-bd05-fdd182058a61::5,Looks like someone expressing their thoughts online. No reason to suspend them.,Personal opinions and thoughts,Do not suspend; Normal behavior; Personal opinions and thoughts,,Do not suspend; Normal behavior,1
1bc0fc0a-0cf5-4c30-8056-53bc860179f0::3,2 of the 3 messages were offensive.,Majority offesnive,Consistent offensive behavior; Majority offesnive,,Consistent offensive behavior,1
043d2678-387c-463e-8ec8-0bb3314063b9::4,"This account is a case of one message being enough to suspend the entire account. They made a threat towards someone and used derogatory language towards them. In my opinion, that shouldn't be tolerated or given a slap on the wrist on any platform.",Threats of violence; derogatory remarks; one message is enough (offensive),Hate speech and offensive language; Threats of violence; one message is enough (offensive),derogatory remarks,Hate speech and offensive language,2
0860c28d-eaaa-48ea-bd88-a46b9da590f5::2,Glorifying violence. Easy ban.,Threats of violence,Extreme offensive; Permanent ban,Threats of violence,Extreme offensive; Permanent ban,0
