code,support_gold,support_pred,tp,fp,fn,tn,precision,recall,f1,percent_agreement,cohens_kappa
Hate speech and offensive language,46,38,36,2,10,52,0.9473684210526315,0.782608695652174,0.8571428571428571,0.88,0.7553017944535073
Threats of violence,21,28,20,8,1,71,0.7142857142857143,0.9523809523809523,0.8163265306122449,0.91,0.7583243823845329
No offensive content,18,23,16,7,2,75,0.6956521739130435,0.8888888888888888,0.7804878048780488,0.91,0.7249388753056235
Consistent offensive behavior,13,18,12,6,1,81,0.6666666666666666,0.9230769230769231,0.7741935483870968,0.93,0.7340425531914896
Death wish,10,10,7,3,3,87,0.7,0.7,0.7,0.94,0.6666666666666663
One-off offensive,6,4,4,0,2,94,1.0,0.6666666666666666,0.8,0.98,0.7899159663865548
Calm and thoughtful,6,4,4,0,2,94,1.0,0.6666666666666666,0.8,0.98,0.7899159663865548
Normal behavior,6,2,2,0,4,94,1.0,0.3333333333333333,0.5,0.96,0.4845360824742271
Not too offensive,5,7,5,2,0,93,0.7142857142857143,1.0,0.8333333333333333,0.98,0.8230088495575221
Expressed uncertainty,4,4,3,1,1,95,0.75,0.75,0.75,0.98,0.739583333333333
one message is enough (offensive),4,9,3,6,1,90,0.3333333333333333,0.75,0.46153846153846156,0.93,0.4299674267100977
positive content,3,7,3,4,0,93,0.42857142857142855,1.0,0.6,0.96,0.582463465553236
Majority offesnive,3,4,2,2,1,95,0.5,0.6666666666666666,0.5714285714285715,0.97,0.5562130177514796
Consequences beyond suspencion,3,1,1,0,2,97,1.0,0.3333333333333333,0.5,0.98,0.4923857868020313
Extreme offensive,3,11,2,9,1,88,0.18181818181818182,0.6666666666666666,0.28571428571428575,0.9,0.25037481259370375
Mix of offensive and non-offensive,3,12,2,10,1,87,0.16666666666666666,0.6666666666666666,0.26666666666666666,0.89,0.2296918767507
derogatory remarks,3,11,1,10,2,87,0.09090909090909091,0.3333333333333333,0.14285714285714288,0.88,0.10044977511244431
Contextual understanding,3,4,0,4,3,93,0.0,0.0,0.0,0.93,-0.03550295857987933
Ban if behavior continues,2,3,2,1,0,97,0.6666666666666666,1.0,0.8,0.99,0.7950819672131144
racial remark,2,5,2,3,0,95,0.4,1.0,0.5714285714285715,0.97,0.5588235294117647
Personal opinions and thoughts,2,5,2,3,0,95,0.4,1.0,0.5714285714285715,0.97,0.5588235294117647
Harm other person,2,16,2,14,0,84,0.125,1.0,0.2222222222222222,0.86,0.19354838709677452
Could be joking,1,1,1,0,0,99,1.0,1.0,1.0,1.0,1.0
Moral reasoning,1,1,1,0,0,99,1.0,1.0,1.0,1.0,1.0
Need to know policy and TOS,1,1,1,0,0,99,1.0,1.0,1.0,1.0,1.0
Temporary suspension,1,1,1,0,0,99,1.0,1.0,1.0,1.0,1.0
Appeal to intent,1,4,1,3,0,96,0.25,1.0,0.4,0.97,0.3902439024390255
Permanent ban,1,1,0,1,1,98,0.0,0.0,0.0,0.98,-0.010101010101008969
misinformation,0,0,0,0,0,100,0.0,0.0,0.0,1.0,1.0
Troll or bot,0,0,0,0,0,100,0.0,0.0,0.0,1.0,1.0
negative consequences,0,4,0,4,0,96,0.0,0.0,0.0,0.96,0.0
Poster is a bad person,0,6,0,6,0,94,0.0,0.0,0.0,0.94,0.0
Would revise the decision,0,2,0,2,0,98,0.0,0.0,0.0,0.98,0.0
References the recommendation,0,0,0,0,0,100,0.0,0.0,0.0,1.0,1.0
Needed to look at more messages,0,2,0,2,0,98,0.0,0.0,0.0,0.98,0.0
Not offensive at all,0,8,0,8,0,92,0.0,0.0,0.0,0.92,0.0
Do not suspend,0,8,0,8,0,92,0.0,0.0,0.0,0.92,0.0
comment too short and not sure what needs to be done,0,0,0,0,0,100,0.0,0.0,0.0,1.0,1.0
