code,support_gold,support_pred,tp,fp,fn,tn,precision,recall,f1,percent_agreement,cohens_kappa
Hate speech and offensive language,46,41,39,2,7,52,0.9512195121951219,0.8478260869565217,0.8965517241379309,0.91,0.8173701298701299
Threats of violence,21,28,19,9,2,70,0.6785714285714286,0.9047619047619048,0.7755102040816326,0.89,0.7046186895810956
No offensive content,18,20,16,4,2,78,0.8,0.8888888888888888,0.8421052631578948,0.94,0.8051948051948049
Consistent offensive behavior,13,11,9,2,4,85,0.8181818181818182,0.6923076923076923,0.7500000000000001,0.94,0.7161778618732259
Death wish,10,17,10,7,0,83,0.5882352941176471,1.0,0.7407407407407407,0.93,0.7033898305084748
Calm and thoughtful,6,4,4,0,2,94,1.0,0.6666666666666666,0.8,0.98,0.7899159663865548
One-off offensive,6,7,5,2,1,92,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.97,0.7532894736842106
Normal behavior,6,4,3,1,3,93,0.75,0.5,0.6,0.96,0.5798319327731096
Not too offensive,5,2,2,0,3,95,1.0,0.4,0.5714285714285715,0.97,0.5588235294117647
Expressed uncertainty,4,2,2,0,2,96,1.0,0.5,0.6666666666666666,0.98,0.6575342465753422
one message is enough (offensive),4,8,3,5,1,91,0.375,0.75,0.5,0.94,0.47183098591549266
Majority offesnive,3,2,2,0,1,97,1.0,0.6666666666666666,0.8,0.99,0.7950819672131144
positive content,3,6,3,3,0,94,0.5,1.0,0.6666666666666666,0.97,0.6527777777777776
Consequences beyond suspencion,3,1,1,0,2,97,1.0,0.3333333333333333,0.5,0.98,0.4923857868020313
Mix of offensive and non-offensive,3,6,2,4,1,93,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.95,0.421296296296296
derogatory remarks,3,0,0,0,3,97,0.0,0.0,0.0,0.97,0.0
Extreme offensive,3,0,0,0,3,97,0.0,0.0,0.0,0.97,0.0
Contextual understanding,3,0,0,0,3,97,0.0,0.0,0.0,0.97,0.0
Personal opinions and thoughts,2,2,2,0,0,98,1.0,1.0,1.0,1.0,1.0
racial remark,2,3,2,1,0,97,0.6666666666666666,1.0,0.8,0.99,0.7950819672131144
Ban if behavior continues,2,3,2,1,0,97,0.6666666666666666,1.0,0.8,0.99,0.7950819672131144
Harm other person,2,2,1,1,1,97,0.5,0.5,0.5,0.98,0.4897959183673481
Could be joking,1,1,1,0,0,99,1.0,1.0,1.0,1.0,1.0
Moral reasoning,1,1,1,0,0,99,1.0,1.0,1.0,1.0,1.0
Need to know policy and TOS,1,1,1,0,0,99,1.0,1.0,1.0,1.0,1.0
Temporary suspension,1,1,1,0,0,99,1.0,1.0,1.0,1.0,1.0
Appeal to intent,1,1,0,1,1,98,0.0,0.0,0.0,0.98,-0.010101010101008969
Permanent ban,1,1,0,1,1,98,0.0,0.0,0.0,0.98,-0.010101010101008969
misinformation,0,0,0,0,0,100,0.0,0.0,0.0,1.0,1.0
Troll or bot,0,0,0,0,0,100,0.0,0.0,0.0,1.0,1.0
negative consequences,0,1,0,1,0,99,0.0,0.0,0.0,0.99,0.0
Poster is a bad person,0,5,0,5,0,95,0.0,0.0,0.0,0.95,0.0
Would revise the decision,0,1,0,1,0,99,0.0,0.0,0.0,0.99,0.0
References the recommendation,0,0,0,0,0,100,0.0,0.0,0.0,1.0,1.0
Needed to look at more messages,0,1,0,1,0,99,0.0,0.0,0.0,0.99,0.0
Not offensive at all,0,0,0,0,0,100,0.0,0.0,0.0,1.0,1.0
Do not suspend,0,2,0,2,0,98,0.0,0.0,0.0,0.98,0.0
comment too short and not sure what needs to be done,0,0,0,0,0,100,0.0,0.0,0.0,1.0,1.0
