unit_id,user_id,account,unit_text,theme,code,scope,start_offset,end_offset,quote,quote_match,confidence,reason,backend,model,prompt_variant,run_key,annotated_at
e5188116-f79c-476a-b681-859c8c386e61::1,e5188116-f79c-476a-b681-859c8c386e61,1,The person is advocating hate speech and violence.,Type of offensiveness,Hate speech and offensive language,span,25,36,hate speech,exact,0.98,Explicitly states the person is advocating hate speech,openai,gpt-5.1,calibrated,openai__gpt-5.1__calibrated__k12__n10,2026-09-09T23:52:29+00:00
e5188116-f79c-476a-b681-859c8c386e61::1,e5188116-f79c-476a-b681-859c8c386e61,1,The person is advocating hate speech and violence.,Type of offensiveness,Threats of violence,span,41,49,violence,exact,0.98,Mentions advocacy of violence as part of the behavior,openai,gpt-5.1,calibrated,openai__gpt-5.1__calibrated__k12__n10,2026-09-09T23:52:29+00:00
e5188116-f79c-476a-b681-859c8c386e61::2,e5188116-f79c-476a-b681-859c8c386e61,2,Another account advocating actual IRL violence.,Type of offensiveness,Threats of violence,span,16,46,advocating actual IRL violence,exact,0.96,Explicitly describes the account as promoting real-life violence,openai,gpt-5.1,calibrated,openai__gpt-5.1__calibrated__k12__n10,2026-09-09T23:52:29+00:00
e5188116-f79c-476a-b681-859c8c386e61::3,e5188116-f79c-476a-b681-859c8c386e61,3,Person is advocating IRL bullying and violence/wishing harm.,Type of offensiveness,Threats of violence,span,38,59,violence/wishing harm,exact,0.9,Mentions advocating real-life violence and wishing harm,openai,gpt-5.1,calibrated,openai__gpt-5.1__calibrated__k12__n10,2026-09-09T23:52:29+00:00
e5188116-f79c-476a-b681-859c8c386e61::3,e5188116-f79c-476a-b681-859c8c386e61,3,Person is advocating IRL bullying and violence/wishing harm.,Type of offensiveness,Harm other person,span,10,59,advocating IRL bullying and violence/wishing harm,exact,0.9,States the behavior is intended to bully and harm someone,openai,gpt-5.1,calibrated,openai__gpt-5.1__calibrated__k12__n10,2026-09-09T23:52:29+00:00
e5188116-f79c-476a-b681-859c8c386e61::4,e5188116-f79c-476a-b681-859c8c386e61,4,This account threatened another person's life.,Type of offensiveness,Threats of violence,span,13,45,threatened another person's life,exact,0.97,explicit mention of a threat to someone’s life,openai,gpt-5.1,calibrated,openai__gpt-5.1__calibrated__k12__n10,2026-09-09T23:52:29+00:00
e5188116-f79c-476a-b681-859c8c386e61::5,e5188116-f79c-476a-b681-859c8c386e61,5,I saw no evidence of hate speech in seven messages.,Type of offensiveness,No offensive content,span,6,32,no evidence of hate speech,exact,0.93,Explicitly states absence of hate speech as the basis for judgment,openai,gpt-5.1,calibrated,openai__gpt-5.1__calibrated__k12__n10,2026-09-09T23:52:29+00:00
f6adc9c9-2d2e-4b3c-80c4-00eed10c6348::1,f6adc9c9-2d2e-4b3c-80c4-00eed10c6348,1,The account should be suspended. Every comment is offensive.,Patterns of behavior,Consistent offensive behavior,span,33,60,Every comment is offensive.,exact,0.95,"States that all comments from the account are offensive, indicating a repeated pattern.",openai,gpt-5.1,calibrated,openai__gpt-5.1__calibrated__k12__n10,2026-09-09T23:52:29+00:00
f6adc9c9-2d2e-4b3c-80c4-00eed10c6348::2,f6adc9c9-2d2e-4b3c-80c4-00eed10c6348,2,It was offensive on many levels.,Type of offensiveness,Hate speech and offensive language,span,7,31,offensive on many levels,exact,0.9,Describes the content as broadly offensive without specifying threats or other categories,openai,gpt-5.1,calibrated,openai__gpt-5.1__calibrated__k12__n10,2026-09-09T23:52:29+00:00
f6adc9c9-2d2e-4b3c-80c4-00eed10c6348::3,f6adc9c9-2d2e-4b3c-80c4-00eed10c6348,3,Every comment was offensive. The account should be suspended.,Patterns of behavior,Consistent offensive behavior,span,0,28,Every comment was offensive.,exact,0.96,"States that all comments were offensive, indicating a repeated pattern.",openai,gpt-5.1,calibrated,openai__gpt-5.1__calibrated__k12__n10,2026-09-09T23:52:29+00:00
f6adc9c9-2d2e-4b3c-80c4-00eed10c6348::3,f6adc9c9-2d2e-4b3c-80c4-00eed10c6348,3,Every comment was offensive. The account should be suspended.,Type of offensiveness,Hate speech and offensive language,span,18,27,offensive,exact,0.7,"Uses the term offensive to characterize the language, which coders map to offensive language in similar cases.",openai,gpt-5.1,calibrated,openai__gpt-5.1__calibrated__k12__n10,2026-09-09T23:52:29+00:00
