code,support_gold,support_pred,tp,fp,fn,tn,precision,recall,f1,percent_agreement,cohens_kappa,human_human_kappa,human_human_agreement,kappa_gap
Hate speech and offensive language,75,57,55,2,20,110,0.9649122807017544,0.7333333333333333,0.8333333333333333,0.8823529411764706,0.7450105367546795,0.3580121887263323,0.716,0.38699834802834726
Threats of violence,57,58,49,9,8,121,0.8448275862068966,0.8596491228070176,0.8521739130434783,0.9090909090909091,0.7865440139662928,0.7708677963070596,0.918,0.015676217659233216
Consistent offensive behavior,34,48,27,21,7,132,0.5625,0.7941176470588235,0.6585365853658537,0.8502673796791443,0.5661971830985916,0.41343680909624125,0.896,0.15276037400235032
No offensive content,31,41,27,14,4,142,0.6585365853658537,0.8709677419354839,0.75,0.9037433155080213,0.6918146859549532,0.7852931618773503,0.926,-0.09347847592239711
Death wish,24,32,17,15,7,148,0.53125,0.7083333333333334,0.6071428571428571,0.8823529411764706,0.5396150402864818,0.6497509339975094,0.91,-0.11013589371102761
Majority offesnive,15,25,14,11,1,161,0.56,0.9333333333333333,0.7000000000000001,0.9358288770053476,0.666567607726597,0.10138820029747288,0.942,0.5651794074291241
Normal behavior,9,9,4,5,5,173,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.946524064171123,0.4163545568039952,0.23802612481857802,0.916,0.17832843198541717
Harm other person,9,34,9,25,0,153,0.2647058823529412,1.0,0.4186046511627907,0.8663101604278075,0.37070938215103016,0.21023534986573972,0.96,0.16047403228529045
Calm and thoughtful,7,3,3,0,4,180,1.0,0.42857142857142855,0.6,0.9786096256684492,0.5908096280087534,0.3261455525606459,0.984,0.26466407544810744
Expressed uncertainty,5,8,5,3,0,179,0.625,1.0,0.7692307692307693,0.983957219251337,0.7613781369629951,0.3877551020408177,0.976,0.37362303492217736
Consequences beyond suspencion,5,3,2,1,3,181,0.6666666666666666,0.4,0.5,0.9786096256684492,0.48976807639836306,0.6282527881040886,0.984,-0.13848471170572552
positive content,5,14,4,10,1,172,0.2857142857142857,0.8,0.4210526315789473,0.9411764705882353,0.3973044242601817,0.5672436750998674,0.974,-0.1699392508396857
Contextual understanding,4,4,3,1,1,182,0.75,0.75,0.75,0.9893048128342246,0.7445355191256818,0.19484702093398126,0.984,0.5496884981917005
Personal opinions and thoughts,4,2,2,0,2,183,1.0,0.5,0.6666666666666666,0.9893048128342246,0.6618444846292937,0.32111337406653123,0.976,0.34073111056276245
One-off offensive,4,5,3,2,1,181,0.6,0.75,0.6666666666666665,0.983957219251337,0.6585514303104087,0.6126033057851237,0.976,0.04594812452528507
Not too offensive,4,5,3,2,1,181,0.6,0.75,0.6666666666666665,0.983957219251337,0.6585514303104087,0.10244135950215658,0.97,0.5561100708082521
Poster is a bad person,4,10,4,6,0,177,0.4,1.0,0.5714285714285715,0.9679144385026738,0.5579196217494088,0.0,0.988,0.5579196217494088
one message is enough (offensive),4,12,4,8,0,175,0.3333333333333333,1.0,0.5,0.9572192513368984,0.48342541436464187,0.0,0.968,0.48342541436464187
Permanent ban,4,4,1,3,3,180,0.25,0.25,0.25,0.9679144385026738,0.2336065573770481,0.10197565356216279,0.856,0.13163090381488532
racial remark,3,7,3,4,0,180,0.42857142857142855,1.0,0.6,0.9786096256684492,0.5908096280087534,0.11137440758293791,0.97,0.47943522042581543
insult,3,22,3,19,0,165,0.13636363636363635,1.0,0.24000000000000002,0.8983957219251337,0.21791767554479474,0.46300715990453406,0.982,-0.24508948435973932
Extreme offensive,3,28,1,27,2,157,0.03571428571428571,0.3333333333333333,0.06451612903225806,0.8449197860962567,0.036596198259015895,0.11764705882352912,0.922,-0.08105086056451322
Need to know policy and TOS,2,1,1,0,1,185,1.0,0.5,0.6666666666666666,0.9946524064171123,0.6642728904847397,0.28078250863060494,0.99,0.38349038185413475
Appeal to intent,2,3,1,2,1,183,0.3333333333333333,0.5,0.4,0.983957219251337,0.3921993499458306,-0.005361930294911553,0.988,0.39756128024074217
Mix of offensive and non-offensive,2,13,2,11,0,174,0.15384615384615385,1.0,0.2666666666666667,0.9411764705882353,0.25281511078823204,0.2443100995732592,0.966,0.008505011214972852
Ban if behavior continues,1,1,1,0,0,186,1.0,1.0,1.0,1.0,1.0,0.664654594232057,0.996,0.33534540576794303
"need to contact police, or authorities.",1,1,1,0,0,186,1.0,1.0,1.0,1.0,1.0,0.0,0.996,1.0
Needed to look at more messages,1,2,1,1,0,185,0.5,1.0,0.6666666666666666,0.9946524064171123,0.6642728904847397,-0.005747126436787385,0.986,0.6700200169215271
Would revise the decision,1,3,1,2,0,184,0.3333333333333333,1.0,0.5,0.9893048128342246,0.4959568733153613,0.33110367892976367,0.992,0.16485319438559765
negative consequences,1,6,1,5,0,181,0.16666666666666666,1.0,0.2857142857142857,0.9732620320855615,0.2791056283731698,0.0,0.998,0.2791056283731698
Obvious an clear suspension,1,28,1,27,0,159,0.03571428571428571,1.0,0.0689655172413793,0.8556149732620321,0.059250978200111534,-0.005747126436787385,0.986,0.06499810463689892
derogatory remarks,0,11,0,11,0,176,0.0,0.0,0.0,0.9411764705882353,0.0,0.0255713695151473,0.868,-0.0255713695151473
misinformation,0,0,0,0,0,187,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
bullying,0,2,0,2,0,185,0.0,0.0,0.0,0.9893048128342246,0.0,0.32546374367622094,0.984,-0.32546374367622094
scary,0,3,0,3,0,184,0.0,0.0,0.0,0.983957219251337,0.0,0.0,0.996,0.0
sexual discrimination,0,3,0,3,0,184,0.0,0.0,0.0,0.983957219251337,0.0,0.0,0.994,0.0
Troll or bot,0,0,0,0,0,187,0.0,0.0,0.0,1.0,1.0,0.4979919678714839,0.996,0.5020080321285161
Could be joking,0,0,0,0,0,187,0.0,0.0,0.0,1.0,1.0,0.0,0.996,1.0
Moral reasoning,0,0,0,0,0,187,0.0,0.0,0.0,1.0,1.0,0.0,0.998,1.0
