unit_id,unit_text,gold_codes,pred_codes,missed,spurious,n_agreed
e84772f8-0104-4148-af15-e5424ff40caa::4,Threatening physical harm is grounds to suspend someone in my book.,Threats of violence,Harm other person; Threats of violence,,Harm other person,1
7a345fe0-e245-4e5c-a2fc-b725eed72fa1::4,"They had a slip up on message 3 which could be taken as a threat, but I do not know the situation. I have had conversations where people would say this jokingly. I think this person gets one more chance.",Appeal to intent; Ban if behavior continues; Could be joking; Expressed uncertainty; One-off offensive; Threats of violence,Ban if behavior continues; Could be joking; One-off offensive,Appeal to intent; Expressed uncertainty; Threats of violence,,3
209a2e51-8511-44f6-8bc1-5df8aff3fa19::1,They are very vulgar words that deserve suspending the account,Hate speech and offensive language; derogatory remarks,Hate speech and offensive language,derogatory remarks,,1
904fefab-d1fe-4c81-a4c7-a1b91737087f::3,"Even though there are some very calm and eloquent messages, there are still hurtful ones.  If a person is being demeaning and homophobic there is no place for them, even if some of their messages are thoughtful.",Calm and thoughtful; Hate speech and offensive language,Calm and thoughtful; Hate speech and offensive language; Mix of offensive and non-offensive,,Mix of offensive and non-offensive,2
e92964a0-56a0-4f0c-a292-473c7cc67bea::4,"I wasn't 100 percent confident on my decision, but they did not have many offensive messages. Although they did talk about killing people on the offensive tweets it wasn't too extreme.",Expressed uncertainty; Not too offensive; One-off offensive,Expressed uncertainty; One-off offensive; Threats of violence,Not too offensive,Threats of violence,2
4e526fc5-8352-4bd3-93c1-c9e4a8d8e59c::1,they want everyone to die. very mean and cold hearted.,Hate speech and offensive language,Death wish; Poster is a bad person,Hate speech and offensive language,Death wish; Poster is a bad person,0
3a71a704-c4b8-415f-bd4d-ce52c8458a98::5,"This account has posts that seem genuine and supportive, probably indicative of someone who is level, civil, and not angry",Calm and thoughtful; Contextual understanding,Calm and thoughtful,Contextual understanding,,1
d7a83ebf-ff90-45ee-946f-bf3053a6cda0::5,"I went through 6 messages and none were offensive. However, I wish I had chosen to not suspend the account with a confidence of 4 because I don't know what other potential messages could've said.",Expressed uncertainty; No offensive content,No offensive content; Would revise the decision,Expressed uncertainty,Would revise the decision,1
947c2dec-32b7-465b-a682-2751391d78e4::2,"I only needed to see one message to suspend this account, this is a threat and a graphic one. Threats against life should be suspended all the time. I believe in free speech but there's a difference between being a troll and being a danger.",Harm other person; Moral reasoning; Threats of violence; one message is enough (offensive),Death wish; Moral reasoning; Threats of violence; one message is enough (offensive),Harm other person,Death wish,3
5cc4bd9f-bb5f-4846-bd05-fdd182058a61::5,Looks like someone expressing their thoughts online. No reason to suspend them.,Personal opinions and thoughts,No offensive content; Personal opinions and thoughts,,No offensive content,1
043d2678-387c-463e-8ec8-0bb3314063b9::4,"This account is a case of one message being enough to suspend the entire account. They made a threat towards someone and used derogatory language towards them. In my opinion, that shouldn't be tolerated or given a slap on the wrist on any platform.",Threats of violence; derogatory remarks; one message is enough (offensive),Hate speech and offensive language; Threats of violence; one message is enough (offensive),derogatory remarks,Hate speech and offensive language,2
709e0d0c-1354-43ff-a628-ef4a2981b0c8::1,They were calling other people offensive names and wishing/threatening death.,Death wish; Hate speech and offensive language,Death wish; Hate speech and offensive language; Threats of violence,,Threats of violence,2
e1155a7e-7ace-4083-adcf-27d2ae8bdd4c::5,He/she are just projecting their own views and not bashing or using vulgar language in the process or threatening anyone.,Personal opinions and thoughts,No offensive content; Personal opinions and thoughts,,No offensive content,1
f6855f0d-9705-4cd9-a67c-ee8cd8d73460::1,account 3 used foul words but it seems like he was being bothered,Contextual understanding; Hate speech and offensive language,Appeal to intent; Hate speech and offensive language,Contextual understanding,Appeal to intent,1
fefb2330-548d-44b7-a374-a6957a756dc0::5,"Almost all the comment were nice and cool, that's why I chose not to suspended this account.",Calm and thoughtful,Do not suspend; positive content,Calm and thoughtful,Do not suspend; positive content,0
87f87d7b-4b52-467a-93ed-face4ab8ccb4::3,"The first message was suspension-worthy in my opinion.  I just wanted to see if the next message followed in the same vein.  I don't know the policies for this presumed platform, so I have to go by what I think is no good.  Homophobia is a no-go.",Hate speech and offensive language; Need to know policy and TOS,Hate speech and offensive language; Need to know policy and TOS; one message is enough (offensive),,one message is enough (offensive),2
563c29ae-5957-43e7-8456-64668a5f47c8::2,I should have just clicked suspend after the first message. But violence in message 1 plus slurs in message 2 is more than enough for me.,Consistent offensive behavior; Hate speech and offensive language; Threats of violence,Hate speech and offensive language; Threats of violence; one message is enough (offensive),Consistent offensive behavior,one message is enough (offensive),2
563c29ae-5957-43e7-8456-64668a5f47c8::3,"Double slur on the very first message, easy call for suspension. No need to see more.",Hate speech and offensive language; Permanent ban,Hate speech and offensive language; one message is enough (offensive),Permanent ban,one message is enough (offensive),1
5da998f3-ab70-4dbb-9b1e-1d1008e85512::4,"The first two messages were fine, but the third included a threat of violence, which is not ok.",No offensive content; Threats of violence,One-off offensive; Threats of violence,No offensive content,One-off offensive,1
2db60c1d-59e3-4a2d-96e2-2d364f090249::2,"PLAIN AND SIMPLE OFFENSIVE, COMMON SENSE AND ADDITIONALLY YOU ARE LUCKY i DO NOT RETURN THIS NOW ON PRINCIPLE ALONE AS IT IS YOUR 2ND OMISSION NOT CITED AS BEING REQUIRED IN PROLIFIC TASK PREVIEW MATERIAL SHOWN ON PROLIFIC BEFORE WORKERS CLICK START",Hate speech and offensive language,,Hate speech and offensive language,,0
