code,support_gold,support_pred,tp,fp,fn,tn,precision,recall,f1,percent_agreement,cohens_kappa,human_human_kappa,human_human_agreement,kappa_gap
Hate speech and offensive language,8,9,7,2,1,15,0.7777777777777778,0.875,0.823529411764706,0.88,0.7330960854092526,0.3664,0.704,0.36669608540925264
Threats of violence,6,10,6,4,0,15,0.6,1.0,0.7499999999999999,0.84,0.6428571428571428,0.6977,0.896,-0.05484285714285719
No offensive content,4,10,4,6,0,15,0.4,1.0,0.5714285714285715,0.76,0.44444444444444436,0.6389,0.892,-0.19445555555555566
Expressed uncertainty,3,2,2,0,1,22,1.0,0.6666666666666666,0.8,0.96,0.7787610619469024,0.4473,0.972,0.33146106194690245
Calm and thoughtful,3,2,2,0,1,22,1.0,0.6666666666666666,0.8,0.96,0.7787610619469024,0.3188,0.968,0.45996106194690245
one message is enough (offensive),2,3,2,1,0,22,0.6666666666666666,1.0,0.8,0.96,0.7787610619469024,0.0,0.98,0.7787610619469024
Majority offesnive,2,1,1,0,1,23,1.0,0.5,0.6666666666666666,0.96,0.6478873239436618,0.2466,0.956,0.40128732394366173
Personal opinions and thoughts,2,1,1,0,1,23,1.0,0.5,0.6666666666666666,0.96,0.6478873239436618,0.3547,0.96,0.29318732394366176
Contextual understanding,2,3,1,2,1,21,0.3333333333333333,0.5,0.4,0.88,0.3362831858407078,0.3261,0.984,0.01018318584070782
derogatory remarks,2,1,0,1,2,22,0.0,0.0,0.0,0.88,-0.056338028169013725,0.039,0.836,-0.09533802816901372
One-off offensive,2,0,0,0,2,23,0.0,0.0,0.0,0.92,0.0,0.6196,0.968,-0.6196
Moral reasoning,1,1,1,0,0,24,1.0,1.0,1.0,1.0,1.0,0.0,0.996,1.0
Need to know policy and TOS,1,1,1,0,0,24,1.0,1.0,1.0,1.0,1.0,0.6649,0.996,0.33509999999999995
Could be joking,1,2,1,1,0,23,0.5,1.0,0.6666666666666666,0.96,0.6478873239436618,0.0,0.996,0.6478873239436618
Mix of offensive and non-offensive,1,3,1,2,0,22,0.3333333333333333,1.0,0.5,0.92,0.4680851063829789,0.249,0.956,0.2190851063829789
Appeal to intent,1,3,1,2,0,22,0.3333333333333333,1.0,0.5,0.92,0.4680851063829789,-0.0064,0.98,0.4744851063829789
Not too offensive,1,3,1,2,0,22,0.3333333333333333,1.0,0.5,0.92,0.4680851063829789,0.1863,0.968,0.28178510638297893
Death wish,1,0,0,0,1,24,0.0,0.0,0.0,0.96,0.0,0.7115,0.924,-0.7115
Harm other person,1,2,0,2,1,22,0.0,0.0,0.0,0.88,-0.056338028169013725,0.0,0.984,-0.056338028169013725
Consistent offensive behavior,1,2,0,2,1,22,0.0,0.0,0.0,0.88,-0.056338028169013725,0.3919,0.9,-0.44823802816901376
Normal behavior,1,0,0,0,1,24,0.0,0.0,0.0,0.96,0.0,0.2266,0.86,-0.2266
Ban if behavior continues,1,0,0,0,1,24,0.0,0.0,0.0,0.96,0.0,0.6626,0.992,-0.6626
Extreme offensive,0,2,0,2,0,23,0.0,0.0,0.0,0.92,0.0,0.1598,0.928,-0.1598
racial remark,0,0,0,0,0,25,0.0,0.0,0.0,1.0,1.0,0.171,0.964,0.829
misinformation,0,0,0,0,0,25,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Troll or bot,0,1,0,1,0,24,0.0,0.0,0.0,0.96,0.0,0.6649,0.996,-0.6649
negative consequences,0,2,0,2,0,23,0.0,0.0,0.0,0.92,0.0,0.0,0.996,0.0
Poster is a bad person,0,0,0,0,0,25,0.0,0.0,0.0,1.0,1.0,0.0,0.988,1.0
Would revise the decision,0,1,0,1,0,24,0.0,0.0,0.0,0.96,0.0,1.0,1.0,-1.0
References the recommendation,0,0,0,0,0,25,0.0,0.0,0.0,1.0,1.0,,1.0,
Needed to look at more messages,0,0,0,0,0,25,0.0,0.0,0.0,1.0,1.0,-0.0064,0.98,1.0064
Not offensive at all,0,0,0,0,0,25,0.0,0.0,0.0,1.0,1.0,0.0,0.936,1.0
Temporary suspension,0,0,0,0,0,25,0.0,0.0,0.0,1.0,1.0,0.3961,0.988,0.6039
Permanent ban,0,0,0,0,0,25,0.0,0.0,0.0,1.0,1.0,0.0515,0.872,0.9485
Consequences beyond suspencion,0,0,0,0,0,25,0.0,0.0,0.0,1.0,1.0,0.4354,0.98,0.5646
Do not suspend,0,5,0,5,0,20,0.0,0.0,0.0,0.8,0.0,,1.0,
comment too short and not sure what needs to be done,0,0,0,0,0,25,0.0,0.0,0.0,1.0,1.0,0.2447,0.976,0.7553
positive content,0,0,0,0,0,25,0.0,0.0,0.0,1.0,1.0,0.3188,0.968,0.6812
