code,support_gold,support_pred,tp,fp,fn,tn,precision,recall,f1,percent_agreement,cohens_kappa,human_human_kappa,human_human_agreement,kappa_gap
Hate speech and offensive language,46,41,39,2,7,52,0.9512195121951219,0.8478260869565217,0.8965517241379309,0.91,0.8173701298701299,0.3664,0.704,0.4509701298701299
Threats of violence,21,28,19,9,2,70,0.6785714285714286,0.9047619047619048,0.7755102040816326,0.89,0.7046186895810956,0.6977,0.896,0.0069186895810956495
No offensive content,18,20,16,4,2,78,0.8,0.8888888888888888,0.8421052631578948,0.94,0.8051948051948049,0.6389,0.892,0.16629480519480488
Consistent offensive behavior,13,11,9,2,4,85,0.8181818181818182,0.6923076923076923,0.7500000000000001,0.94,0.7161778618732259,0.3919,0.9,0.3242778618732258
Death wish,10,17,10,7,0,83,0.5882352941176471,1.0,0.7407407407407407,0.93,0.7033898305084748,0.7115,0.924,-0.00811016949152521
Calm and thoughtful,6,4,4,0,2,94,1.0,0.6666666666666666,0.8,0.98,0.7899159663865548,0.3188,0.968,0.47111596638655484
One-off offensive,6,7,5,2,1,92,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.97,0.7532894736842106,0.6196,0.968,0.13368947368421058
Normal behavior,6,4,3,1,3,93,0.75,0.5,0.6,0.96,0.5798319327731096,0.2266,0.86,0.3532319327731096
Not too offensive,5,2,2,0,3,95,1.0,0.4,0.5714285714285715,0.97,0.5588235294117647,0.1863,0.968,0.3725235294117647
Expressed uncertainty,4,2,2,0,2,96,1.0,0.5,0.6666666666666666,0.98,0.6575342465753422,0.4473,0.972,0.21023424657534223
one message is enough (offensive),4,8,3,5,1,91,0.375,0.75,0.5,0.94,0.47183098591549266,0.0,0.98,0.47183098591549266
Majority offesnive,3,2,2,0,1,97,1.0,0.6666666666666666,0.8,0.99,0.7950819672131144,0.2466,0.956,0.5484819672131144
positive content,3,6,3,3,0,94,0.5,1.0,0.6666666666666666,0.97,0.6527777777777776,0.3188,0.968,0.3339777777777776
Consequences beyond suspencion,3,1,1,0,2,97,1.0,0.3333333333333333,0.5,0.98,0.4923857868020313,0.4354,0.98,0.05698578680203131
Mix of offensive and non-offensive,3,6,2,4,1,93,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.95,0.421296296296296,0.249,0.956,0.172296296296296
derogatory remarks,3,0,0,0,3,97,0.0,0.0,0.0,0.97,0.0,0.039,0.836,-0.039
Extreme offensive,3,0,0,0,3,97,0.0,0.0,0.0,0.97,0.0,0.1598,0.928,-0.1598
Contextual understanding,3,0,0,0,3,97,0.0,0.0,0.0,0.97,0.0,0.3261,0.984,-0.3261
Personal opinions and thoughts,2,2,2,0,0,98,1.0,1.0,1.0,1.0,1.0,0.3547,0.96,0.6453
racial remark,2,3,2,1,0,97,0.6666666666666666,1.0,0.8,0.99,0.7950819672131144,0.171,0.964,0.6240819672131144
Ban if behavior continues,2,3,2,1,0,97,0.6666666666666666,1.0,0.8,0.99,0.7950819672131144,0.6626,0.992,0.13248196721311445
Harm other person,2,2,1,1,1,97,0.5,0.5,0.5,0.98,0.4897959183673481,0.0,0.984,0.4897959183673481
Could be joking,1,1,1,0,0,99,1.0,1.0,1.0,1.0,1.0,0.0,0.996,1.0
Moral reasoning,1,1,1,0,0,99,1.0,1.0,1.0,1.0,1.0,0.0,0.996,1.0
Need to know policy and TOS,1,1,1,0,0,99,1.0,1.0,1.0,1.0,1.0,0.6649,0.996,0.33509999999999995
Temporary suspension,1,1,1,0,0,99,1.0,1.0,1.0,1.0,1.0,0.3961,0.988,0.6039
Appeal to intent,1,1,0,1,1,98,0.0,0.0,0.0,0.98,-0.010101010101008969,-0.0064,0.98,-0.003701010101008969
Permanent ban,1,1,0,1,1,98,0.0,0.0,0.0,0.98,-0.010101010101008969,0.0515,0.872,-0.06160101010100896
misinformation,0,0,0,0,0,100,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Troll or bot,0,0,0,0,0,100,0.0,0.0,0.0,1.0,1.0,0.6649,0.996,0.33509999999999995
negative consequences,0,1,0,1,0,99,0.0,0.0,0.0,0.99,0.0,0.0,0.996,0.0
Poster is a bad person,0,5,0,5,0,95,0.0,0.0,0.0,0.95,0.0,0.0,0.988,0.0
Would revise the decision,0,1,0,1,0,99,0.0,0.0,0.0,0.99,0.0,1.0,1.0,-1.0
References the recommendation,0,0,0,0,0,100,0.0,0.0,0.0,1.0,1.0,,1.0,
Needed to look at more messages,0,1,0,1,0,99,0.0,0.0,0.0,0.99,0.0,-0.0064,0.98,0.0064
Not offensive at all,0,0,0,0,0,100,0.0,0.0,0.0,1.0,1.0,0.0,0.936,1.0
Do not suspend,0,2,0,2,0,98,0.0,0.0,0.0,0.98,0.0,,1.0,
comment too short and not sure what needs to be done,0,0,0,0,0,100,0.0,0.0,0.0,1.0,1.0,0.2447,0.976,0.7553
