unit_id,user_id,account,unit_text,theme,code,scope,start_offset,end_offset,quote,quote_match,confidence,reason,backend,model,prompt_variant,run_key,annotated_at
e5188116-f79c-476a-b681-859c8c386e61::1,e5188116-f79c-476a-b681-859c8c386e61,1,The person is advocating hate speech and violence.,Type of offensiveness,Hate speech and offensive language,span,14,36,advocating hate speech,exact,1.0,Direct mention of hate speech,ollama,qwen3.5:latest,codebook_only,ollama__qwen3.5-latest__codebook_only,2026-09-09T15:41:57+00:00
e5188116-f79c-476a-b681-859c8c386e61::1,e5188116-f79c-476a-b681-859c8c386e61,1,The person is advocating hate speech and violence.,Type of offensiveness,Threats of violence,span,37,49,and violence,exact,1.0,Direct mention of violence,ollama,qwen3.5:latest,codebook_only,ollama__qwen3.5-latest__codebook_only,2026-09-09T15:41:57+00:00
e5188116-f79c-476a-b681-859c8c386e61::2,e5188116-f79c-476a-b681-859c8c386e61,2,Another account advocating actual IRL violence.,Type of offensiveness,Threats of violence,span,16,46,advocating actual IRL violence,exact,1.0,Direct reference to real-life violence as grounds for the decision.,ollama,qwen3.5:latest,codebook_only,ollama__qwen3.5-latest__codebook_only,2026-09-09T15:41:57+00:00
e5188116-f79c-476a-b681-859c8c386e61::3,e5188116-f79c-476a-b681-859c8c386e61,3,Person is advocating IRL bullying and violence/wishing harm.,Type of offensiveness,Threats of violence,span,10,59,advocating IRL bullying and violence/wishing harm,exact,1.0,Direct reference to advocating for real-life violence and wishing harm.,ollama,qwen3.5:latest,codebook_only,ollama__qwen3.5-latest__codebook_only,2026-09-09T15:41:57+00:00
e5188116-f79c-476a-b681-859c8c386e61::4,e5188116-f79c-476a-b681-859c8c386e61,4,This account threatened another person's life.,Type of offensiveness,Threats of violence,span,13,45,threatened another person's life,exact,1.0,Direct reference to a threat against a person's life.,ollama,qwen3.5:latest,codebook_only,ollama__qwen3.5-latest__codebook_only,2026-09-09T15:41:57+00:00
e5188116-f79c-476a-b681-859c8c386e61::5,e5188116-f79c-476a-b681-859c8c386e61,5,I saw no evidence of hate speech in seven messages.,Type of offensiveness,No offensive content,unit,,,,none,0.95,Participant explicitly states they saw no evidence of hate speech.,ollama,qwen3.5:latest,codebook_only,ollama__qwen3.5-latest__codebook_only,2026-09-09T15:41:57+00:00
e5188116-f79c-476a-b681-859c8c386e61::5,e5188116-f79c-476a-b681-859c8c386e61,5,I saw no evidence of hate speech in seven messages.,Type of offensiveness,Hate speech and offensive language,span,0,32,I saw no evidence of hate speech,exact,0.1,"Mentioned in text but immediately negated by 'no evidence', so primary code is absence of offense; this code applies only if the content was acknowledged as present.",ollama,qwen3.5:latest,codebook_only,ollama__qwen3.5-latest__codebook_only,2026-09-09T15:41:57+00:00
f6adc9c9-2d2e-4b3c-80c4-00eed10c6348::1,f6adc9c9-2d2e-4b3c-80c4-00eed10c6348,1,The account should be suspended. Every comment is offensive.,Patterns of behavior,Consistent offensive behavior,unit,,,,none,0.95,"Participant states 'Every comment' is offensive, indicating a repeated pattern.",ollama,qwen3.5:latest,codebook_only,ollama__qwen3.5-latest__codebook_only,2026-09-09T15:41:57+00:00
f6adc9c9-2d2e-4b3c-80c4-00eed10c6348::1,f6adc9c9-2d2e-4b3c-80c4-00eed10c6348,1,The account should be suspended. Every comment is offensive.,Type of offensiveness,Extreme offensive,span,33,59,Every comment is offensive,exact,0.85,"The participant characterizes the content as universally offensive, fitting the definition of extreme offensiveness.",ollama,qwen3.5:latest,codebook_only,ollama__qwen3.5-latest__codebook_only,2026-09-09T15:41:57+00:00
f6adc9c9-2d2e-4b3c-80c4-00eed10c6348::2,f6adc9c9-2d2e-4b3c-80c4-00eed10c6348,2,It was offensive on many levels.,Type of offensiveness,Extreme offensive,span,7,31,offensive on many levels,exact,0.95,The phrase 'on many levels' suggests a high degree and breadth of offensiveness.,ollama,qwen3.5:latest,codebook_only,ollama__qwen3.5-latest__codebook_only,2026-09-09T15:41:57+00:00
