user_id,condition,user_finish_id,account,accountsOrder,justification,aor,num_messages,account_suspension,account_confidence,account_duration
a69e967a-c238-4245-8091-e518ed2326f6,control,b23175,2,43512,More inflammatory remarks about someone's orientation plus threats of violence should be automatically suspended or a permanent ban. The one off random inoffensive comment doesn't undo all of the vitriol this person is presenting,0.75,4,Suspend,3.76,10.693
a69e967a-c238-4245-8091-e518ed2326f6,control,b23175,3,43512,Any sort of derogatory slurs let's me know that this person will use them again against others. They think this way and will spread their hate again. They shouldn't be on the platform,0.5,1,Suspend,5.0,20.891
a69e967a-c238-4245-8091-e518ed2326f6,control,b23175,4,43512,"It seems that account one had the one off outburst but for the most part, their messages are non-threatening and not offensive. It seems that their pattern of behavior is less likely to be offensive. ",0.25,4,Do not suspend,3.93,13.84
a69e967a-c238-4245-8091-e518ed2326f6,control,b23175,5,43512,"Nothing this person said was offensive, if anything, it seemed to be wholesome. I do wonder what this person if referencing but I'll go ahead and assume that it's something positive ",0.0,3,Do not suspend,5.0,11.844
f8635d72-3d1f-4a55-aa95-c79d3bbb0c91,control,2b5614,1,15234,The message includes hateful slurs and is full of hateful wishes.,1.0,1,Suspend,5.0,12.237
f8635d72-3d1f-4a55-aa95-c79d3bbb0c91,control,2b5614,2,15234,"The message was hateful, threatening, and had slurs.",0.75,2,Suspend,5.0,3.521
f8635d72-3d1f-4a55-aa95-c79d3bbb0c91,control,2b5614,3,15234,Messages 1 and 2 used slurs and hateful offensive language.,0.5,3,Suspend,5.0,3.808
f8635d72-3d1f-4a55-aa95-c79d3bbb0c91,control,2b5614,4,15234,The messages were not hateful nor did they use any foul language or display any threats.,0.25,2,Do not suspend,5.0,3.296
f8635d72-3d1f-4a55-aa95-c79d3bbb0c91,control,2b5614,5,15234,None of the messages had any hateful or offensive language.,0.0,4,Do not suspend,5.0,5.659
21aa6a85-a854-4018-85f2-941f69c53692,crowd,5f47ed,1,54213,"There is an offensive slur used here referencing someone's sexuality. I think slurs for sexuality, gender, race, etc should be grounds for suspension.",1.0,1,Suspend,5.0,4.9
21aa6a85-a854-4018-85f2-941f69c53692,crowd,5f47ed,2,54213,Account suspended because of a death threat.,0.75,1,Suspend,5.0,4.419
21aa6a85-a854-4018-85f2-941f69c53692,crowd,5f47ed,3,54213,A slur for someone's sexuality was used.,0.5,1,Suspend,5.0,4.107
21aa6a85-a854-4018-85f2-941f69c53692,crowd,5f47ed,4,54213,Account suspended because of a death threat.,0.25,6,Suspend,5.0,5.084
21aa6a85-a854-4018-85f2-941f69c53692,crowd,5f47ed,5,54213,There is nothing here that is threatening or violent and there are no slurs used.,0.0,5,Do not suspend,5.0,4.872
f7c75d2e-6128-4832-b3c7-38e45904788a,ai,8a9406,1,41523,Comments that include violent or offensive language is grounds for termination/suspension.,1.0,3,Suspend,5.0,3.333
f7c75d2e-6128-4832-b3c7-38e45904788a,ai,8a9406,2,41523,Violent or threatening language is prohibited and thus grounds for suspension.,0.75,4,Suspend,5.0,3.604
f7c75d2e-6128-4832-b3c7-38e45904788a,ai,8a9406,3,41523,Offensive or threatening language is grounds for termination/suspension.,0.5,7,Suspend,5.0,4.515
f7c75d2e-6128-4832-b3c7-38e45904788a,ai,8a9406,4,41523,Any comments regarding violence towards another individual is gounds for suspension.,0.25,11,Suspend,5.0,6.686
f7c75d2e-6128-4832-b3c7-38e45904788a,ai,8a9406,5,41523,I found no comments or intent offending someone else.  Also no violent language was found.,0.0,5,Do not suspend,5.0,3.53
5de5360b-7333-4661-9f72-fc2249b5dcf3,ai,bac46c,1,31542,This message goes to the extreme of hurting someone or physically harming a person even to the point of death and pain. There is no justification for this message. This offensive and wishes death or pain for others,1.0,1,Suspend,5.0,4.692
5de5360b-7333-4661-9f72-fc2249b5dcf3,ai,bac46c,2,31542,This message is barbaric. Threatening to shoot someone in the head is a crime on its own and should be suspended. This is very offensive while causing pain and physically harming someone,0.75,1,Suspend,4.99,5.187
5de5360b-7333-4661-9f72-fc2249b5dcf3,ai,bac46c,3,31542,This message is offensive but does not go to the extreme of hurting anyone physically. The offense is in moderation and the message could be temporarily suspended rather than suspending permanently.,0.5,1,Do not suspend,3.99,15.578
5de5360b-7333-4661-9f72-fc2249b5dcf3,ai,bac46c,4,31542,This message does not go beyond hurting anyone or causing pain as well. It is just a mere expression of someone's thought.,0.25,1,Do not suspend,4.0,5.028
5de5360b-7333-4661-9f72-fc2249b5dcf3,ai,bac46c,5,31542,This message is just a personal expression of someone's thought. It does not go beyond hurting anyone or causing harm or pain to anyone,0.0,1,Do not suspend,5.0,3.914
0860c28d-eaaa-48ea-bd88-a46b9da590f5,control,3e6cb4,1,34125,Vulgar slur and hateful speech. Glorifying violence.,1.0,1,Suspend,5.0,4.435
0860c28d-eaaa-48ea-bd88-a46b9da590f5,control,3e6cb4,2,34125,Glorifying violence. Easy ban.,0.75,1,Suspend,5.0,3.831
0860c28d-eaaa-48ea-bd88-a46b9da590f5,control,3e6cb4,3,34125,Vulgar slur in the initial sentence (zero tolerance policy). Follow up sentence just supports my claim. Repeated slur.,0.5,1,Suspend,5.0,6.455
0860c28d-eaaa-48ea-bd88-a46b9da590f5,control,3e6cb4,4,34125,"Glorifying violence and threatening to act on it towards a person with intent. Furthermore, they added a slur on top of a self incriminating statement.",0.25,3,Suspend,5.0,5.481
0860c28d-eaaa-48ea-bd88-a46b9da590f5,control,3e6cb4,5,34125,No signs of offensive activity of the currently review content.,0.0,8,Do not suspend,5.0,8.335
fcb3203a-3cc2-4222-9894-4d8d83e03fe7,crowd,717b86,1,13245,"This is offensive name calling and hate speech, as well as violent.",1.0,1,Suspend,4.98,5.256
fcb3203a-3cc2-4222-9894-4d8d83e03fe7,crowd,717b86,2,13245,"This is violent and threatening, as well as extremely offensive.",0.75,1,Suspend,4.99,3.408
fcb3203a-3cc2-4222-9894-4d8d83e03fe7,crowd,717b86,3,13245,This is offensive name calling and hate speech.,0.5,1,Suspend,4.98,3.919
fcb3203a-3cc2-4222-9894-4d8d83e03fe7,crowd,717b86,4,13245,This person seems agitated but not violent or offensive.,0.25,1,Do not suspend,3.99,6.7
fcb3203a-3cc2-4222-9894-4d8d83e03fe7,crowd,717b86,5,13245,"This is a very positive post, crediting others for their help. Nothing offensive.",0.0,1,Do not suspend,4.98,4.378
9d384bf9-0a29-43d2-8ca8-9de6189f801f,crowd,eed831,1,45213,The message contains offensive language and bullying.,1.0,1,Suspend,5.0,4.065
9d384bf9-0a29-43d2-8ca8-9de6189f801f,crowd,eed831,2,45213,The message contains a serious threat.,0.75,1,Suspend,5.0,3.607
9d384bf9-0a29-43d2-8ca8-9de6189f801f,crowd,eed831,3,45213,The message contains offensive language and bullying.,0.5,1,Suspend,5.0,4.726
9d384bf9-0a29-43d2-8ca8-9de6189f801f,crowd,eed831,4,45213,One of the messages contains a serious threat.,0.25,3,Suspend,5.0,5.146
