code,support_gold,support_pred,tp,fp,fn,tn,precision,recall,f1,percent_agreement,cohens_kappa
Hate speech and offensive language,8,9,7,2,1,15,0.7777777777777778,0.875,0.823529411764706,0.88,0.7330960854092526
Threats of violence,6,10,6,4,0,15,0.6,1.0,0.7499999999999999,0.84,0.6428571428571428
No offensive content,4,10,4,6,0,15,0.4,1.0,0.5714285714285715,0.76,0.44444444444444436
Expressed uncertainty,3,2,2,0,1,22,1.0,0.6666666666666666,0.8,0.96,0.7787610619469024
Calm and thoughtful,3,2,2,0,1,22,1.0,0.6666666666666666,0.8,0.96,0.7787610619469024
one message is enough (offensive),2,3,2,1,0,22,0.6666666666666666,1.0,0.8,0.96,0.7787610619469024
Majority offesnive,2,1,1,0,1,23,1.0,0.5,0.6666666666666666,0.96,0.6478873239436618
Personal opinions and thoughts,2,1,1,0,1,23,1.0,0.5,0.6666666666666666,0.96,0.6478873239436618
Contextual understanding,2,3,1,2,1,21,0.3333333333333333,0.5,0.4,0.88,0.3362831858407078
derogatory remarks,2,1,0,1,2,22,0.0,0.0,0.0,0.88,-0.056338028169013725
One-off offensive,2,0,0,0,2,23,0.0,0.0,0.0,0.92,0.0
Moral reasoning,1,1,1,0,0,24,1.0,1.0,1.0,1.0,1.0
Need to know policy and TOS,1,1,1,0,0,24,1.0,1.0,1.0,1.0,1.0
Could be joking,1,2,1,1,0,23,0.5,1.0,0.6666666666666666,0.96,0.6478873239436618
Mix of offensive and non-offensive,1,3,1,2,0,22,0.3333333333333333,1.0,0.5,0.92,0.4680851063829789
Appeal to intent,1,3,1,2,0,22,0.3333333333333333,1.0,0.5,0.92,0.4680851063829789
Not too offensive,1,3,1,2,0,22,0.3333333333333333,1.0,0.5,0.92,0.4680851063829789
Death wish,1,0,0,0,1,24,0.0,0.0,0.0,0.96,0.0
Harm other person,1,2,0,2,1,22,0.0,0.0,0.0,0.88,-0.056338028169013725
Consistent offensive behavior,1,2,0,2,1,22,0.0,0.0,0.0,0.88,-0.056338028169013725
Normal behavior,1,0,0,0,1,24,0.0,0.0,0.0,0.96,0.0
Ban if behavior continues,1,0,0,0,1,24,0.0,0.0,0.0,0.96,0.0
Extreme offensive,0,2,0,2,0,23,0.0,0.0,0.0,0.92,0.0
racial remark,0,0,0,0,0,25,0.0,0.0,0.0,1.0,1.0
misinformation,0,0,0,0,0,25,0.0,0.0,0.0,1.0,1.0
Troll or bot,0,1,0,1,0,24,0.0,0.0,0.0,0.96,0.0
negative consequences,0,2,0,2,0,23,0.0,0.0,0.0,0.92,0.0
Poster is a bad person,0,0,0,0,0,25,0.0,0.0,0.0,1.0,1.0
Would revise the decision,0,1,0,1,0,24,0.0,0.0,0.0,0.96,0.0
References the recommendation,0,0,0,0,0,25,0.0,0.0,0.0,1.0,1.0
Needed to look at more messages,0,0,0,0,0,25,0.0,0.0,0.0,1.0,1.0
Not offensive at all,0,0,0,0,0,25,0.0,0.0,0.0,1.0,1.0
Temporary suspension,0,0,0,0,0,25,0.0,0.0,0.0,1.0,1.0
Permanent ban,0,0,0,0,0,25,0.0,0.0,0.0,1.0,1.0
Consequences beyond suspencion,0,0,0,0,0,25,0.0,0.0,0.0,1.0,1.0
Do not suspend,0,5,0,5,0,20,0.0,0.0,0.0,0.8,0.0
comment too short and not sure what needs to be done,0,0,0,0,0,25,0.0,0.0,0.0,1.0,1.0
positive content,0,0,0,0,0,25,0.0,0.0,0.0,1.0,1.0
