unit_id,user_id,account,unit_text,n_codes,codes,themes,unit_note,status,error,latency_s,input_tokens,output_tokens,from_cache,backend,model,prompt_variant,run_key,annotated_at
e5188116-f79c-476a-b681-859c8c386e61::1,e5188116-f79c-476a-b681-859c8c386e61,1,The person is advocating hate speech and violence.,3,Hate speech and offensive language; Threats of violence; Harm other person,Type of offensiveness,,ok,,3.418,1960,181,False,openai,gpt-5.1,codebook_only,openai__gpt-5.1__codebook_only,2026-09-09T18:28:34+00:00
e5188116-f79c-476a-b681-859c8c386e61::2,e5188116-f79c-476a-b681-859c8c386e61,2,Another account advocating actual IRL violence.,2,Threats of violence; Harm other person,Type of offensiveness,,ok,,4.788,1959,211,False,openai,gpt-5.1,codebook_only,openai__gpt-5.1__codebook_only,2026-09-09T18:28:34+00:00
e5188116-f79c-476a-b681-859c8c386e61::3,e5188116-f79c-476a-b681-859c8c386e61,3,Person is advocating IRL bullying and violence/wishing harm.,3,Threats of violence; Harm other person; negative consequences,Type of offensiveness; Justifications,,ok,,3.781,1963,196,False,openai,gpt-5.1,codebook_only,openai__gpt-5.1__codebook_only,2026-09-09T18:28:34+00:00
e5188116-f79c-476a-b681-859c8c386e61::4,e5188116-f79c-476a-b681-859c8c386e61,4,This account threatened another person's life.,2,Threats of violence; Harm other person,Type of offensiveness,,ok,,3.059,1958,127,False,openai,gpt-5.1,codebook_only,openai__gpt-5.1__codebook_only,2026-09-09T18:28:34+00:00
e5188116-f79c-476a-b681-859c8c386e61::5,e5188116-f79c-476a-b681-859c8c386e61,5,I saw no evidence of hate speech in seven messages.,2,No offensive content; Not offensive at all,Type of offensiveness; Reflection on the decision,,ok,,3.926,1962,156,False,openai,gpt-5.1,codebook_only,openai__gpt-5.1__codebook_only,2026-09-09T18:28:34+00:00
f6adc9c9-2d2e-4b3c-80c4-00eed10c6348::1,f6adc9c9-2d2e-4b3c-80c4-00eed10c6348,1,The account should be suspended. Every comment is offensive.,2,Consistent offensive behavior; Majority offesnive,Patterns of behavior,"No specific type of offensiveness is mentioned, only that offensiveness is pervasive across all comments.",ok,,5.003,1962,217,False,openai,gpt-5.1,codebook_only,openai__gpt-5.1__codebook_only,2026-09-09T18:28:34+00:00
f6adc9c9-2d2e-4b3c-80c4-00eed10c6348::2,f6adc9c9-2d2e-4b3c-80c4-00eed10c6348,2,It was offensive on many levels.,0,,,"The justification is too vague and does not reference specific content, patterns, or reasoning that match any defined code beyond a generic statement of offensiveness, so no codes are applied.",ok,,4.576,1958,134,False,openai,gpt-5.1,codebook_only,openai__gpt-5.1__codebook_only,2026-09-09T18:28:34+00:00
f6adc9c9-2d2e-4b3c-80c4-00eed10c6348::3,f6adc9c9-2d2e-4b3c-80c4-00eed10c6348,3,Every comment was offensive. The account should be suspended.,1,Consistent offensive behavior,Patterns of behavior,,ok,,3.393,1962,138,False,openai,gpt-5.1,codebook_only,openai__gpt-5.1__codebook_only,2026-09-09T18:28:34+00:00
f6adc9c9-2d2e-4b3c-80c4-00eed10c6348::4,f6adc9c9-2d2e-4b3c-80c4-00eed10c6348,4,None of the comments were offensive. There was no reason to suspend.,2,No offensive content; Do not suspend,Type of offensiveness; Decision outcomes,,ok,,3.09,1965,92,True,openai,gpt-5.1,codebook_only,openai__gpt-5.1__codebook_only,2026-09-09T18:28:34+00:00
f6adc9c9-2d2e-4b3c-80c4-00eed10c6348::5,f6adc9c9-2d2e-4b3c-80c4-00eed10c6348,5,There were no offensive comments. No reason to suspend.,2,No offensive content; Do not suspend,Type of offensiveness; Decision outcomes,,ok,,1.502,1962,83,False,openai,gpt-5.1,codebook_only,openai__gpt-5.1__codebook_only,2026-09-09T18:28:34+00:00
cba4cf31-c885-4ce4-b1f4-8eafe6b74168::1,cba4cf31-c885-4ce4-b1f4-8eafe6b74168,1,This appears to be a classic hate-filled troll account.  100% of the 3 messages I reviewed were offensive.,4,Hate speech and offensive language; Troll or bot; Consistent offensive behavior; Majority offesnive,Type of offensiveness; Patterns of behavior,,ok,,3.462,1976,229,False,openai,gpt-5.1,codebook_only,openai__gpt-5.1__codebook_only,2026-09-09T18:28:34+00:00
