unit_id,unit_text,gold_codes,pred_codes,missed,spurious,n_agreed
f6adc9c9-2d2e-4b3c-80c4-00eed10c6348::1,The account should be suspended. Every comment is offensive.,Consistent offensive behavior; Extreme offensive,Consistent offensive behavior; Majority offesnive,Extreme offensive,Majority offesnive,1
f6adc9c9-2d2e-4b3c-80c4-00eed10c6348::4,None of the comments were offensive. There was no reason to suspend.,No offensive content,Do not suspend; No offensive content,,Do not suspend,1
c56e03c2-fc49-4a92-a3c6-28619fb44120::2,"The multiple death threats and attacking language aren't permitted for online discussions. Despite one post about their life, the rest are attacks and threats upon others.",Harm other person; Majority offesnive; Threats of violence,Consistent offensive behavior; Death wish; Harm other person; Hate speech and offensive language; Majority offesnive; Mix of offensive and non-offensive; Threats of violence,,Consistent offensive behavior; Death wish; Hate speech and offensive language; Mix of offensive and non-offensive,3
f5aa39ff-fa4a-477b-b01b-0e05b4255970::4,They never said anything offensive and seemed normal,No offensive content,No offensive content; Normal behavior,,Normal behavior,1
f5aa39ff-fa4a-477b-b01b-0e05b4255970::5,They never said awful stuff and seem decent,No offensive content,No offensive content; positive content,,positive content,1
7a345fe0-e245-4e5c-a2fc-b725eed72fa1::5,"I should have kept going to see more messages, but I felt as though 3 messages with no clear signs of any wrong doing would put this person in the clear.",Needed to look at more messages; No offensive content,Do not suspend; Expressed uncertainty; Needed to look at more messages; No offensive content,,Do not suspend; Expressed uncertainty,2
59a40bdf-b848-403a-868a-437acf6c8f8c::4,"There was only one offensive message, and while extreme, I think suspension should be more based on a a pattern of behavior",Not too offensive; One-off offensive,One-off offensive,Not too offensive,,1
904fefab-d1fe-4c81-a4c7-a1b91737087f::3,"Even though there are some very calm and eloquent messages, there are still hurtful ones.  If a person is being demeaning and homophobic there is no place for them, even if some of their messages are thoughtful.",Calm and thoughtful; Hate speech and offensive language,Calm and thoughtful; Hate speech and offensive language; Mix of offensive and non-offensive; insult; unjustifiable,,Mix of offensive and non-offensive; insult; unjustifiable,2
f28153d7-0a1f-48ff-983b-d2aaaa6ce8d8::4,again everyday talk,Normal behavior,No offensive content; Normal behavior,,No offensive content,1
f28153d7-0a1f-48ff-983b-d2aaaa6ce8d8::5,Its an everyday kind of statement,Normal behavior,No offensive content; Normal behavior,,No offensive content,1
