theme,code,definition,inclusion,exclusion,example
Type of offensiveness,No offensive content,States that the messages reviewed contained nothing offensive.,"They characterise what they read as harmless, friendly, or inoffensive, or say nothing was offensive.","Not when offensive content is acknowledged (use One-off offensive or a Justifications code). Not when the main characterisation is Calm and thoughtful, Normal behavior, or Personal opinions and thoughts — use those instead. Never with an offensiveness code.","All the messages I viewed were friendly, therefore I decided not to suspend."
Type of offensiveness,Threats of violence,Points to an explicit threat to harm or kill someone as grounds for the decision.,"Direct threats to harm or kill, violence, murder, or attacking language.","If they only mention a death wish or 'death threat' without a threat to commit violence, use Death wish. If dismissed as a joke, also apply Appeal to intent.",The first message was a clear threat to kill someone.
Type of offensiveness,Hate speech and offensive language,"Points to slurs, derogatory language, hate speech, or targeted personal attacks.","Slurs, hate speech, homophobia, targeted attacks, or generic 'offensive'/'hateful' language.","Do not absorb racial remark, Extreme offensive, insult, Harm other person, or Death wish. Apply those as well when their wording is present.",Using slurs against LGBTQ individuals shouldn't be tolerated.
Type of offensiveness,Death wish,Death wish for person or relatives or person.,"Wishing death, death threats, 'hope you die', telling someone to die, or naming death as the problem.",Do not replace this with Threats of violence. Add Threats of violence only when they also describe a threat to commit violence or kill.,"Saying things like ""I hope you die"" should not be allowed on any platform."
Type of offensiveness,derogatory remarks,"Apply when the comments identifies belittling, demeaning, contemptuous, or disparaging remarks directed at a person or group.",,,used derogatory language towards them.
Type of offensiveness,Extreme offensive,message that talks about posts that contains extreme offensive messages,"They characterise the content as extreme, severe, brutal, or highly offensive.",Do not skip this because Hate speech also applies.,This is severely offensive for what can be said through text.
Type of offensiveness,racial remark,comments where they mention about racism,"The participant mentions racism, racist language, or racial attacks.",Do not skip this just because Hate speech and offensive language also applies; humans usually applied both.,User also insulted someone's family. User also made racist comments.
Type of offensiveness,misinformation,when comment refers to user using misinformation,,,false information
Type of offensiveness,Harm other person,comments used in a way to harm other person,"They mention harm, harmful language, hurtful content, intent to harm, or causing distress.",Do not drop this because Threats of violence or Hate speech is also present.,which is a clear example of harmful language that can cause distress and fear.
Type of offensiveness,insult,When they mention that someone insulted another person.,"They say someone insulted, was insulting, rude, or name-calling.","If they mention slurs or hate speech, use Hate speech and offensive language (and insult only if they also said insult). If they only say 'rude'/'insult', prefer insult.",really rude - comments like this should not be allowed
Type of offensiveness,bullying,"Apply when the sentences identifies targeted harassment, intimidation, humiliation, or repeated aggressive treatment of another person as bullying.",,,This person's messages include harassing others
Type of offensiveness,scary,The emotions induced in the reader is being scared.,,,Most of these comments are terrible and scary.
Type of offensiveness,sexual discrimination,"Apply when the comments identifies sexist or discriminatory language, stereotypes, or unequal treatment based on a person's sex or gender.",,,and made offensive statements about women.
Patterns of behavior,Consistent offensive behavior,Points to a repeated pattern of offensive messages across the account.,"Repeated pattern: every, all, both, multiple, history, numerous, frequent, standard behavior, or counts (e.g. four out of five).",Not for a single message that was itself enough (use one message is enough). Can be applied together with Majority offesnive.,Four out of five comments were offensive enough to suspend.
Patterns of behavior,One-off offensive,"Treats offensive content as isolated, and therefore as insufficient grounds for suspension.","Acknowledges an offensive message while stressing that the remaining messages were fine, often as a reason not to treat it as a pattern.",Not for accounts described as having no offensive content at all — use No offensive content. Not with Consistent offensive behavior.,"Only one message was offensive among the rest, so no suspension."
